User review,Review date,Star review,Text length,Has media,Has answer,Written by bot
"Для моей капельной кофеварки большеваты по высоте, но меньше вообще не нашла (заводская сеточка порвалась). Нашла решение, подворачиваю верх и все отлично. Спасибо!",2024-06-23,5,164,1,1,0
"Отличные фильтры, плотные. Беру не первый раз. Первых хватило почти на 7 месяцев. Фильтруют кофе без осадка. В одиночку так же хорошо справляются. Из за хорошей плотности, фильтрация не такая быстрая, но это нисколько не портит товар. Довольна, рекомендую.",2024-06-15,5,256,1,1,0
Отличные фильтры. Платные. Пришли как и положено в упаковке. Внутри ещё и упаковка из целлофана. К покупке рекомендую.,2024-07-26,5,118,1,1,0
"Очень понравились фильтры, тонкие, но при этом прочные. Вкус кофе чувствуется хорошо, не теряется. Упаковка странная конечно, просто в прозрачном пакете, я такое впервые вижу.",2024-06-25,5,175,1,1,0
Отличное качество. Из всей пачки не порвался ни один фильтр 👌!,2024-08-20,5,62,1,1,0
"Эти фильтры очень медленно фильтруют. Сравниваю с такими же с виду, которые покупал полгода назад, хотя те были тоже не идеальны. А также с теми, что покупал в своё время в Германии. Нормальные (читай: немецкие) фильтры фильтруют кофе быстро и качественно. В этих же кофе протекает безумно медленно, а при использовании капельной кофеварки даже стоит подолгу в фильтре и переливается через край вместе с осадком, как на фотке. Явно проблема с бумагой. В другой раз я предпочту заплатить побольше, но чтобы качество было нормальное, ведь кофе с утра должен радовать, а не огорчать.\nПлюсы: низкая цена.",2024-06-06,2,600,1,1,0
"Отличные фильтры. Использую в капельной кофеварке, подрезаю примерно 3см.",2024-08-23,5,73,1,1,0
Отличные фильтра. У кого они рвутся- вы просто не правильно ими пользуетесь,2024-07-15,5,75,1,1,0
"Мусор в виде обрезков на всех фильтрах, всё это попадёт в кофе. Фильтруют не очень. Покупала такие же ранее на  *** , выглядели по-другому, эти как будто совсем из другой бумаги сделаны, либо наклейки налепили на дешёвые фильтры",2024-06-26,1,228,1,1,0
"Хорошие фильтры для кофе, беру во второй раз, теперь только количество 200 шт.",2024-08-07,5,78,1,1,0
Слева были когда-то куплены в Швейцарии.справа на wb.разницы никакой. Одна халва,2024-08-03,5,80,1,1,0
"Прошу прощения, но это пустая трата денег; несколько раз попробовала - все разы фильтры рвались; уже и тихонько лила воду.. не помогает",2024-07-02,1,135,1,1,0
"Фильтры использовала понравились, на вид и по качеству хорошие, не рвутся, подошли по размеру, спасибо продавцу!",2024-06-07,5,112,1,1,0
"Эта шляпа рвется в 2 из 3-х случаях. Учитывая, что кофе пьют по утрам, где дорога каждая секунда, такая вот оплошность очень раздражает. Пишу этот отзыв с утра, порвалось 3 фильтра подряд, я вас матерю и зубами цежу кофейный жмых. 250 рублей выкинуты на ветер, утро испорчено.",2024-07-08,1,276,1,1,0
"Бесполезная покупка. Пакет рвется мнгновенно! Попробовала использовать 2 одновременно, но.. оба так же не выдержали первого соприкосновения с водой.",2024-08-13,1,148,1,1,0
"Не первый раз беру эти фильтры, удивило то что пришли без коробки! Просто упакованы в пакет! Наверное поэтому и цена низкая. Положила в предыдущую коробку для хранения. \nСами фильтры хорошо подходят для капельной кофеварки, у меня не рвутся,как здесь пишут. Рекомендую к покупке",2024-04-28,5,278,1,1,0
"Отличные фильтры. Покупала уже такие на другом маркетплейсе, смело могу рекомендовать. Там в отзывах тоже писали, что они рвутся, и для меня было шоком, что кто-то использует их для заваривания на весу, или как там ухитряются делать, чтобы они рвались? Я завариваю в пластиковой воронке, идеально, заварила, лишнее выбросила, кофе по вкусу такой же, как из капельной кофеварки.",2024-09-17,5,377,0,1,0
"Ерунда редкостная. Развалился от кипятка прям в кружке. Деньги на ветер. И, пожалуйста, представитель, не отвечай, что сожалеешь, что продал мне лажу 🌷 просто больше не продавай это г…)",2024-07-21,1,185,1,1,0
"Хорошие, качественные фильтры, не порвались после использования. Покупкой довольна.",2024-06-07,5,83,1,1,0
Не поняла где здесь новая упаковка? Это просто обычный запаянный пакет.,2024-08-13,2,71,1,1,0
"В целом очень хорошие фильтры, прекрасно справляются со своей задачей в кофеварке, жаль что рвутся при заваривании в чашке, но это уже нюансы, в конце концов они даже не предназначены для такого использования) для кофеварки мне эти фильтры очень понравились! Однозначно рекомендую к покупке!",2024-09-23,5,291,0,1,0
"Фильтры для кофе выписываю давно, но данной фирмы первый раз. Фильтры огонь, теперь буду заказывать только эти. Однозначно рекомендую!",2024-03-23,5,134,1,1,0
"Очень много пыли на фильтрах. В местах среза осталась бумага в виде маааленьких полосочек, которые сяпятся как дождь, когда трясешь пачку фильтров. \nПоставила 2 звезды, потому что по сути свою функцию выполнять могут, если сначала их промыть или пропылесосить. В общем хз, как эти остатки убрать. Буду использовать, или нет - не знаю!",2024-04-13,2,334,1,1,0
"Плохо фильтруют, зато хорошо рвутся. Минут по двадцать жду, пока накапает чашка, но чаще проливается быстро вместе с гущей. Покупала по отзывам владельцев кофеварок, возможно, фильтры просто не подходят для воронки.",2024-04-19,2,215,1,1,0
"Брали для капельной кофеварки, размер большеват, приходится подрезать. Не промокают, осадок не остаётся. К покупке рекомендую👍",2024-04-06,5,126,1,1,0
Все хорошо спасибо,2024-08-19,5,18,1,1,0
"Недорогие фильтры, бытовая доставка😊. Покупали такие же фильтры в другой стране - цена одинаковая, а разница в качестве огромная. Эти пропускают кофеинки, сама бумага хуже по качеству. Но пока нет возможности купить другие, будем пользоваться этими)))",2024-09-13,5,251,0,1,0
"Пришло всё, по описанию!",2024-08-30,5,24,1,1,0
Почему без упаковки? На фото в упаковке. Вы их где делаете? В подвале в Мытищах? Непонятно из какого материала итд.,2024-06-18,2,115,1,1,0
"Нормальные фильтры. Их нужно ставить не в кружку, а в воронку от капельной кофеварки, подгибать шов и тогда они будут служить верой и правдой. Фильтруют хорошо. Проверял специально очень ржавой воде. Результатом доволен. Прозрачность воды полностью восстановилась.",2024-09-06,5,264,0,1,0
Заказываю второй раз. Хорошие фильтры. Рекомендую,2024-06-07,5,49,1,1,0
Все отлично. Фильтры не рваться. Со своей работой справляются.,2024-06-25,5,62,1,1,0
"Фильтры просто какого-то космического размера, всегда беру 4ку у других производителей, они в полтора раза точно меньше, а эти приходится в 2 раза подгибать и снизу и сбоку! упаковка оставляет желать лучшего, никакой информации о товаре нет, просто прозрачная пленка. Сами фильтры обсыпаются с краев.",2024-03-20,2,300,1,1,0
"Заказываю уже не в первый раз, раньше была полностью довольна качеством, но в последний раз фильтры пришли без привычной упаковки, а просто в пленке. Но и само качество фильтров сильно изменилось. Они теперь тоньше, края обработаны так, что с них сыпется бумага.",2024-03-28,4,262,1,0,0
"Собиралась на работе заваривать кофе в чашке,чтобы осадок в фильтре оставался,но,фильтр с кофе  расходится снизу по шву и все в чашке,как уже и писали,в капельную кофеварку дома пока не пробовала.",2024-09-16,5,196,0,1,0
"Хорошие фильтры , отлично справляются с задачей",2024-07-05,5,47,1,1,0
"Упакованы хорошо, для стандартной кофеварки подошли отлично",2024-06-19,5,59,1,1,0
"Не хочется портить рейтинг продавцу, наверное купила что-то не то, наверное это для кофеварки, не знаю... кофе с воронкой так медленно капает, уже успевает остыть... жаль, думала по типу дрип-пакетов) нт буду знать",2024-09-07,5,214,0,1,0
"Редкосное  *** ! Сначала облила кипятком-порвался. Потом думаю, наверное надо подвергнуть шоф, пробую с повернутым облить кипятком, тоже самое. Думаю, ладно, пусть не облитая, насыпают кофе, кладу приправу, наливаю воды и вуаля, все кофе в кружке. Спасибо за испорчено утро! Не рекомендую не в коем случае!!! Это простая бумага.",2024-04-15,1,328,1,0,0
"Очень качественные фильтры: шов очень крепкий, не разрывается, при этом сам фильтр достаточно тонкий \nБлагодарю за быструю доставку. Рекомендую",2024-02-20,5,143,1,1,0
"Вырубка бумаги некачественная - края фильтров осыпаются. Пользоваться можно, но перед этим необходимо фильтры вручную обтряхивать и очищать, чтобы не пить кофе с бумажными опилками и мусором. Товар к покупке не рекомендую. Немецкое качество рядом не стояло.",2024-03-21,1,257,1,1,0
"Идеально подошли к моей кофеварке. Качество отличное. Обожаю варёный кофе, и часто их беру. В общем рекомендую.",2024-02-09,5,111,1,1,0
"Фильтры пришли в пакете, без картонной коробки. При использовании нескольких штук, все хорошо. Качеством пока довольна.",2024-03-07,5,119,1,1,0
"Непонятно как вытащить пакет, после заваривания, он рвётся 🤣",2024-06-11,5,60,1,1,0
"Взяла фильтры этой фирмы, т.к.такими уже пользовались и нам понравились. Эти пришли в пакете без коробки. !?!?в пакете. Как в эксплуатации, будем пробовать.",2024-06-05,4,156,1,1,0
"Качественные фильтры в экономупаковке. Немного стружки в пачке есть, но оно и понятно, это же машины их вырезают, а не девственницы верхом на драконе, в полнолуние, потому и цена демократичная",2024-09-07,5,192,0,1,0
"Выброшенные деньги, с первого же фильтра вот такая ситуация, не фильтрует, просто стоит вода, а с самих фильтров сыпятся какие-то опилки. Выкинули всю упаковку.",2024-04-24,1,160,1,1,0
Большие. Для капелтной кофеварки то что надо.,2024-05-19,5,45,1,1,0
"Товар пришёл без задержки, хорошо упакован. В отличае от предыдущих, которые я брала  другого производителя, дно крепкое. Ещё ни один фильтр не порвался.\nСпасибо.",2024-09-12,5,162,0,1,0
"Отлтчные фильтры, цена прекрасна",2024-07-11,5,32,1,1,0
На вид ничего.. Но без коробки.,2024-07-11,5,31,1,1,0
Фильтры при предварительном смачивании рвутся. Отфильтровать кофе получается через раз. Плохое качество (,2024-06-16,1,105,1,1,0
"Первый раз взяла попробывать такие фильтры, очень даже не плохо и упакованно хорошо, советую продавца",2024-04-08,5,101,1,1,0
"Хорошие фильтры по приемлемой цене. Специально тестировала месяц, прежде чем оставить отзыв. Довольно плотные, не рвутся,подошли для моей капельной кофеварки.",2024-09-02,5,158,0,1,0
"Заканчиваются запасы миелиты, и цена на нее в России стала неадекватной, поэтому впервые заказала эти фильтры ориентируясь на высокий рейтинг. Уже когда заказ был в пути зашла почитать отзывы и испугалась что в последних партиях много брака. Готова была к худшему, но в итоге пока ни одного бракованного фильтра не попалось. Качество бумаги конечно другое, у миелиты бумага плотнее, но в остальном все в порядке, ничего не рвется при использовании, товар хороший. На фото сверху миелита, снизу эколюкс.",2023-10-11,5,502,1,1,0
Пропускная способность бумаги меньше чем в других фильтрах такого плана. То есть кофе заваривается в 2-3 раза дольше ...,2024-09-16,5,120,0,1,0
"Точно не помню сколько раз покупала, но 5-6 точно. На этот раз вместо 3-х пачек пришла одна на 300 шт. Начитавшись отзывов о том, что рвутся, огорчилась и полезла тестировать, хотя еще не кончилась прошлая пачка, старой партии. Да, фильтры отличаются даже визуально. Выглядят немного менее аккуратно, чем раньше, но ничего не рвется, не пахнет. Причем. насколько я понимаю, там даже дополнительное усиление шва сделано. Рвутся у конкурентов, которые цену завышают? 1 - это старая партия, 2 - новая.",2023-07-25,5,498,1,1,0
Рвется в первую же минуту. Что называется день с самого утора не задался.,2024-06-01,2,73,1,1,0
Хорошие фильтры для кофеварки капельного типа. Берем не первый раз. Все устраивает.,2024-04-18,5,83,1,1,0
Это простая бумага которая не пропускает ничего. Если подождать достаточно долго то просто швы разойдутся. Не рекомендую к покупке. Деньги на ветер,2024-05-12,1,147,1,1,0
"Плотные, покупкой довольна. Пришли без коробки  , только в пакете.",2024-05-04,5,66,1,1,0
"Я так обрадовалась, что нашла наконец-то фильтры через которые можно вылить кофе из турки и так разочаровалась. Я не знаю что можно делать не так, но у меня вообще кофе не проходит через этот фильтр. Капает по капельки, утром это вообще не вариант. Обидно.",2024-09-20,4,256,0,1,0
Товар соответствует описанию. Упаковка не нарушена. Доставка быстрая. Рекомендую к покупке,2024-09-26,5,90,0,1,0
"Зачем указывать заваривание в чашке, если это невозможно? Они рвутся как их не складывай и как мелко не лей воду. Через два фильтра вода уже не проходит. Если хотите всю кухню  ***  в кофе и потратить 20 минут на одну порцию с гущей и картоном - очень советую",2024-09-16,1,259,0,1,0
Отличные,2024-08-12,5,8,1,1,0
"Фильтры пришли в прозрачном пластиковом пакете, без нормальной упаковки и вообще без всякой маркировки. Нет никакой гарантии, что внутри то, что ты заказывал, а не продукция кустарного производства ""Maid in China""",2024-04-04,1,213,1,1,0
"Все, кто пишет для тупых - подогнуть фильтр, положить его в сито, и так далее.... Тупые всё это проделали, ещё не читая отзывов. Итог: фильтр рвётся! И без гущи тоже. Положив его в сито, тупые ждали около 10 минут, чтобы что-то натекло в чашку. За это время кофе остыл, а в чашку ровно столовая ложка накапала.",2024-09-04,1,310,0,1,0
До этого покупала наборы по 200 пакетов  производитель Ecolux.. В этот раз заказала 300. Хорошее качество.,2024-09-13,5,106,0,1,0
"Фильтры пришли без коробки ,наверно потому что цена дешёвая 265р,при использовании не рвуться , нормальные,рекомендую к покупке.",2024-02-26,5,128,1,1,0
"Отличные фильтры, кофе пропускают, ни один не порвался (использую в обычной кофеварке).",2024-09-24,5,87,0,1,0
"Фильтры хорошие,удобные.Доставка быстрая,правда коробка была не упакована,поэтому пришла не очень чистая,но целая.",2024-09-08,5,114,0,1,0
"Хорошие фильтры, брала для капельной кофемашины. Ничего не рвется и кофе как будто крепче, рекомендую!",2024-09-14,5,102,0,1,0
"спасибо за подсказку, купила дополнительно воронку для этого типа фильтров",2024-09-30,5,74,0,1,0
Что за фигню я купил ?) продавец уйди с рынка в лес.,2024-06-07,1,52,1,1,0
"Фильтры хорошие, рекомендую к покупке \nВерхняя упаковка картонная была равная,  но это не критично",2024-09-12,5,98,0,1,0
При попытке заварить кофе фильтр расходится по шву,2024-06-06,1,50,1,1,0
"Очень жаль, что поменялась упаковка, это ставит под сомнение происхождение фильтров! Hand made получается. Я, к сожалению, не долистала до страницы с описанием про смену упаковки, когда оформляла заказ, но фильтр хороший, при использовании не рвётся, фильтрует отлично.",2024-09-03,4,269,0,1,0
Доставка во время. Для нашей кофеварки оказались велики. Но не критично. Подвернула и всё хорошо. Спасибо.,2024-09-04,5,106,0,1,0
"Пришли в большом пакете все 3 упаковки. Фирменной картонной коробки Ecolux нет и по ощущениям это совсем другие фильтры от другого производителя-бумага более плотная не хрустит. Но кофе заваривается, фильтры крепки, по швам не рвутся. Можно брать",2024-09-06,4,246,0,1,0
"Хорошие фильтры, заказываю не первый раз, спасибо))",2024-02-13,5,51,1,1,0
"Рвется через секунду после намокания - так случилось с 3мя фильтрами подряд из 3х, вообще первый раз вижу фильтры, которые разваливаются при прикосновении. До этого брал другие какие-то ноунеймы без фирмы и названия - из 200штук ни один не порвался.",2024-01-08,1,249,1,1,0
"Хороший фильтры. В самый раз для маленькой кофеварки Витек. Упаковка товара отличная: коробка из плотного картона заклеена основательно, сами фильтры дополнительно в запаянном пакетике. Беру второй раз и ни разу ни один фильтр не расклеился.",2023-09-16,5,241,1,1,0
Фильтры хорошие заказывают не первый раз все пришло быстро хорошо упакованные спасибо,2024-09-13,5,85,0,1,0
Прекрасно за такую цену🫰,2024-06-13,5,24,1,1,0
"Фильтры хорошие, уже два года ими пользуемся, в этот раз удалось урвать за 455₽, только фасовка в этот раз необычная))",2023-12-03,5,118,1,1,0
"Сразу же порвались, качество отстой. Накрученные отзывы.",2024-06-15,1,56,1,1,0
"Надеялся получить фильтр как на фото, потому что брал их раньше. Пришли без упаковки и другого качества.",2024-04-30,2,104,1,1,0
"При заваривании в кружке фильтры просто рвутся.  Три раза пробовал, так и не вышло ничего.",2024-05-10,1,90,1,1,0
"Хорошие фильтры, соответствуют описанию",2024-05-03,5,39,1,1,0
"Каждая вторая рвётся, теряют форму когда намокают",2024-06-22,1,49,1,1,0
Отлично!,2024-08-14,5,8,1,1,0
"Супербыстрая доставка- вечером заказали, утром уже получили! 👍Упаковка-  мегакрутая коробка из твёрдого картона. Сами фильтры отсортированы в целофане по 100 штучек, невероятно удобно👍 На фото для сравнения Ecolux и фильтр, которым пользовалась до этого. К покупке рекомендую, 10★!",2023-05-02,5,281,1,1,0
"Фигня. Даже если лить тонкой струйкой и медленно все рано дырка сразу на дне, в месте шва . 5 штук подряд продырявились. Единственный способ если аккуратно вывернуть, то можно профильтроаать. Посмотрю еще парочку испрбую, нет так брак оформлю",2024-02-06,2,242,1,1,0
"Фильтры отличного качества, хорошо упакованы в пакет и картонную коробку, рекомендую!",2024-02-19,5,85,1,1,0
"Теперь это выглядит так. О каком ""немецком"" качестве и ""швейцарской"" бумаге идёт речь? Продавец, смените описание этого товара",2024-09-25,1,126,0,1,0
"Фото товара не соответствует действительности, вместо трех коробок по 100 штук, как обычно,  это 300 штук, расфасованных в пакетики по 100, в одной коробке. \nБумага вроде немного тоньше чем обычно у этих фильтров, но не критично, в кофемашине ведут себя нормально.",2024-01-20,4,264,1,1,0
"К сожалению в этот раз брак на каждом втором  фильтре - дырявое дно. И по ощущениям качество фильтра отличается от предыдущей покупки , тоньше бумага",2024-03-15,3,149,1,1,0
"Фильтр мне очень понравился.\nДоставка была быстрая 👍\nПосторонних запахов я не почувствовала и после заваривания ничего не услышала, и привкуса бумаги не было.\nФильтр не порвался 👍\nРекомендую ✨👍\nСпасибо большое за товар",2023-04-06,5,218,1,1,0
"Хорошие фильтры. Понравились, буду заказывать ещё",2024-01-08,5,49,1,1,0
Хорошие фильтра. Со своими обязанностями справляются.,2024-09-20,5,53,0,1,0
"Фильтры - 💩 заливаешь - рвется в момент, фигня полная",2024-06-05,1,53,1,1,0
Первая же чашка кофе порвала 3 фильтра подряд,2024-06-16,1,45,1,1,0
"Норм,не разваливаются ,использую в кофеварке",2024-09-29,5,44,0,1,0
"прекрасные фильтры, жалко, что не всегда бывают на складе",2024-09-13,5,57,0,1,0
"Заказ пришёл очень быстро. Брала на работу, по рекомендации знакомой.",2024-02-26,5,69,1,1,0
Шикарные. Беру уже который раз. Нам с мужем нравится,2024-09-18,5,52,0,1,0
"Мне попалась очень хлипкая партия в упаковке — рвались фильтры просто в процессе расплавления, некоторые  уже когда проливала водой. Пришлось с бубном плясать, загибать как-то каждый раз. В общем процесс готовки кофе эти фильтры подпортили, не рекомендую",2023-11-17,2,254,1,1,0
"Всем привет. Ну такое себе настроение… В предыдущий раз , когда покупал эти пакеты качество бумаги было отличное. Сейчас же после использования фильтр-пакета остаётся кофе на стенках за фильтром! Стали использовать хуже сырьё. Это факт.",2023-11-26,2,236,1,1,0
"не ожидала, что будет без коробки. пакеты хорошие.",2024-09-17,5,50,0,1,0
"Хорошие фильтры. Один из 100 порвался, и то непонятно почему...",2024-09-05,5,63,0,1,0
"Хорошие фильтры, жаль, что упаковки нормальной нет.",2024-09-14,5,51,0,1,0
"Отличные фильтры, без дефектов, не рвутся.",2024-09-24,5,42,0,1,0
"Отличные фильтры, хорошо подошли по размеру и понравились по качеству. Уже опробовали их, вкус кофе не меняют. Они довольно тонкие, но не рвутся и их удобно открывать т. к. сбоку есть язычок. Пришли хорошо упакованные в плотной коробке.",2023-04-16,5,236,1,1,0
"Фильтры как фильтры, шов не расходится, цена хорошая. 👍",2024-09-09,5,55,0,1,0
Рвутся через одну.  Брак. Потеря времени и нервов. Плохой клееой шов.,2024-05-06,1,69,1,1,0
"Фильтры хорошие, покупаем не в первый раз, но пришли в равной упаковке, прошу убрать этот товар.",2023-11-13,5,96,1,1,0
"Спасибо, заказываю не первый раз, всё отлично.",2024-09-19,5,46,0,1,0
Беру уже в второй раз. Хорошие фильтры,2024-09-28,5,38,0,1,0
"Фильтры отличные, брали на работу! Не рвутся! Рекомендую!",2024-09-05,5,57,0,1,0
"Дело было вечером, делать было нечего... Решил, я, как-то от нечего делать, пересчитать заявленное количество и вывести на чистую воду поставщика. Пересчитатал, и оказалось, что не 100 шт., как завленно, а целых 103 шт! Вот такой вот добросовестный, щедрый поставщик! 🙂 Что касается качества товара, то тут тоже мое расследование ни к чему не привело. Фильтры крепкие, без посторонних привкусов и запахов! Отличный товар!",2024-08-20,5,421,0,1,0
"каждый второй рвётся, пробовала заваривать маленькими порциями кипятка - не помогает.. больше не куплю",2024-09-23,2,102,0,1,0
"Отличные фильтры, крепкие, нет посторонних запахов.",2024-09-10,5,51,0,1,0
"Отвратительное качество, треть жидкости осталось в фильтре, порвалось дно (при этом кофе было немного засыпано, на чашку). Не рекомендую.",2024-09-07,2,137,0,1,0
"Пакеты отличного качества, буду заказывать ещё.",2024-09-14,5,47,0,1,0
Сколько много мусора в этих фильтрах. Это просто ужас,2024-03-08,2,53,1,1,0
Заказываю не первый раз. Но такой упаковки еще не было ни разу. Всегда приходило в картонной упаковке. Экономят.,2024-03-17,3,112,1,1,0
Отличные фильтры! В разы дешевле чем в  *** …,2024-09-14,5,45,0,1,0
Отличные фильтры. Берем не первый раз.,2024-09-23,5,38,0,1,0
Очень понравились 😻 🔥ещё закажу 👍,2024-09-29,5,33,0,1,0
"Хорошие фильтры, спасибо производителю и продавцу за быструю доставку.",2024-01-31,5,70,1,1,0
"Нам понравились, большая упаковка хватает надолго",2024-09-07,5,49,0,1,0
"Отличный фильтр  цена/качество, полностью доволен",2024-09-07,5,49,0,1,0
"Хорошие фильтр-пакеты. Не рвутся, вкус кофе не портится. Оказались длинноваты и торчали из держателя фильтра, пришлось подрезать где-то на 1,5 см - это не сказывается на качестве товара.",2023-03-01,5,186,1,1,0
"В капельной кофеварке через этот фильтр ОЧЕНЬ долго стекает кофе. Видимо, очень плотный. Хорошо это или плохо- решает каждый сам.",2024-09-02,4,129,0,1,0
"Не подошли по размеру и не проходит вода , кофе уже готово но надо ждать пока  вода стечет, не практично.",2024-09-14,3,105,0,1,0
Прекрасные пакеты. \nВыполняют свою функцию на все 100,2024-09-02,5,53,0,1,0
"Беру уже второй раз. Цена и качество радует, спасибо.",2024-09-02,5,53,0,1,0
"всё привезли размер в размер. коробка запечатана на клей, слегка помятая; фильтры внутри упакованы в плёнку, повреждений не обнаружено. в целом, фильтры как фильтры",2023-08-01,5,164,1,1,0
"Использую в кружке,у многих прорывается дно,ожидала совсем другого эффекта от фильтров",2024-04-02,1,86,1,1,0
"Хорошие фильтр пакеты, подходят для капельной кофеварки Tefal",2024-02-08,5,61,1,1,0
"Покупаю не в первый раз. Использую для заваривания:- кофе, цикория, чая. Довольна на все 100%. Рекомендую, у кого подобная машина.",2023-11-13,5,130,1,1,0
Фильтры полная фигня! Бумага тонкая. Быстро впитывают воду и не хватает до конца прогнать воду через кофе. Разочарована очень!,2024-09-02,2,126,0,1,0
"Нареканий нет. Всё, начиная с упаковки, отлично!",2024-09-04,5,48,0,1,0
"Фильтры очень качественные. Спасибо, доставили быстро, в хорошем состоянии.",2023-11-15,5,75,1,1,0
"Пришли быстро, хорошо упакованы, спасибо",2024-09-14,5,40,0,1,0
"Отличное качество👍, бумага по качеству и должна быть плотной идеально запаривает кофе и пропускает воду.У меня есть с чем сравнить -много разных заказывала: производители заявляют одно, а по факту и качество бумаги и швы просто ""никакого""качества. Эти фильтры просто идеальны, часто приобретаем их в офис.",2024-08-27,5,305,0,1,0
Удобная штука. Меньше возни с сеточкой! Огонь!,2024-09-05,5,46,0,1,0
"Фильтры отличные, всегда такие заказываем.",2024-09-09,5,42,0,1,0
"Качество хорошее, плотные фильтры.рекомендую!",2024-09-05,5,45,0,1,0
Отличные фильтры. К покупке рекомендую,2024-09-13,5,38,0,1,0
Пришло всё отлично упаковано 👍,2024-02-18,5,30,1,1,0
"Снимаю звезду, без коробки. Нигде не написано. Всегда находятся в коробке,удобно так. И старую выкинула.",2024-03-04,4,104,1,1,0
"Хорошие фильтры. №2. Правда, всё равно чуть большеваты. Подвернула снизу. Не порвались.",2023-07-12,5,87,1,1,0
"хорошие фильтры, размер соответствует, в магазине брала дороже. упаковка целая не помятая это радует. спасибо продавцу. советую к покупке.",2023-08-08,5,138,1,1,0
Хорошие качественные фильтры. Не рвутся.,2024-01-18,5,40,1,1,0
"Фильтр размокает и расклеивается еще находясь в кофеварке, чем забивает механизм подачи готового  напитка в чашу 🤷‍♂️ отвратный товар 😒перепробовал около десятка пакетиков и не расклеился только один 🤷‍♂️",2023-12-24,1,204,1,1,0
"Для заваривания в чашке подходят, а в кофеварке нижний шов расходится ( у меня капельная )",2024-09-12,4,90,0,1,0
Хорошее качество. Соответствует описанию.,2024-09-05,5,41,0,1,0
Первый раз пришли в таком виде без коробки. Это очень не удобно.,2024-04-10,4,64,1,0,0
"В шоке. Хотя на коробке написано фильтры N2, но размеры совершенно другие, на фото внизу ранее купленные, сверху те что получила сегодня. Больше заказывать не буду. Бумага тоже не такая, пакетики развалились сразу от горячего кофе. Нарвалась на подделку, ещё в пвз заподозрила неладное, коробка была немного другая, дома поняла очередной обман",2023-07-26,2,343,1,1,0
Целостность упаковки не нарушена.Товар соответствует заявленной характеристике.Фильтры отличные.Рекомендую,2023-11-16,5,106,1,1,0
"Фильтры слишком плотные! Не пропускают кофе! Производители, пересмотрите технологию!",2024-09-15,2,84,0,1,0
