,Reviews,Summary
10,"[[ 0.0454601   0.05384651  0.03377168 ... -0.028293    0.46846598
   0.14723548]
 [-0.18314919  0.3049586  -0.21902741 ... -0.32455575  0.3228932
   0.0626452 ]
 [-0.29125404 -0.02099128 -0.04709194 ...  0.15919392  0.19881582
   0.15924512]
 [-0.1088649  -0.15130313  0.05239757 ...  0.07679723  0.23754384
   0.15435438]
 [-0.04053009  0.17824851  0.00985927 ...  0.02025487  0.12594372
   0.31968462]]","Мышка удобная и держит заряд, но колёсико может скрипеть, а кнопки залипать."
11,"[[-0.08300804  0.1565835  -0.27938712 ...  0.19411635  0.2342751
   0.14965016]
 [-0.11877354  0.182147   -0.20744498 ...  0.06812855  0.42450586
   0.22985359]
 [ 0.11064052 -0.04132537 -0.02105428 ...  0.04069771 -0.10666681
   0.04758305]
 [ 0.00641834  0.11431557 -0.4437007  ... -0.00505553 -0.30457485
   0.12374463]
 [-0.04685172 -0.19963793 -0.06582408 ...  0.22045223  0.18584609
  -0.00591118]]","Книга с интересным сюжетом, но мелкий шрифт, слабый переплёт и качество бумаги могут разочаровать."
12,"[[-0.21767782  0.07326298  0.4749928  ... -0.14959706  0.26378572
   0.35874838]
 [ 0.08480225  0.05645036  0.29517525 ...  0.07151054  0.48565593
   0.34388095]
 [-0.07774223  0.01957831  0.02113829 ...  0.06823779  0.41315252
   0.09888187]
 [ 0.2402169   0.1992677   0.02605541 ... -0.02304301 -0.06090907
   0.15434702]
 [-0.06542528 -0.03965412  0.01764845 ... -0.08561621  0.32642248
  -0.02471412]]","Игрушка яркая и интересная, но пластик хрупкий, мелкие детали могут быть опасны, а механизм ненадёжный."
13,"[[ 0.00063896  0.1885601  -0.12788247 ...  0.11014673  0.34328553
   0.12083122]
 [ 0.00857479  0.02287523  0.19592722 ... -0.13742633  0.39833605
   0.06394801]
 [ 0.06496049  0.10906599  0.10642513 ...  0.05295114  0.28649226
   0.09664017]
 [-0.0214427   0.13068959 -0.0707578  ... -0.09073602  0.14343579
   0.22801673]
 [ 0.00971211  0.4441686   0.3696973  ...  0.1283582   0.24886008
   0.2660252 ]]","Сковорода удобная и с хорошим антипригарным покрытием, но ручка греется, тефлон может быстро царапаться, а дно тонковато."
14,"[[ 0.01219855  0.61993897  0.13482502 ... -0.5917481  -0.37139058
   0.01313553]
 [-0.17447543  0.14187264  0.10861991 ... -0.02015132  0.18092375
   0.19352928]
 [-0.02115316 -0.08049428  0.11762479 ...  0.01663462 -0.03533273
   0.17572466]
 [-0.13533287  0.3328304   0.06085678 ... -0.24333337  0.28896388
   0.1679748 ]
 [ 0.23617347  0.26549965 -0.01032871 ...  0.07668692 -0.01565729
   0.08631667]]","Куртка тёплая и лёгкая, но может терять форму после стирки, молния заедает, а рукава могут быть коротковаты."
15,"[[ 0.01672422  0.16390397  0.04419792 ...  0.12713362  0.19307709
   0.05115049]
 [ 0.20289715  0.00532127  0.09656701 ... -0.2027397   0.07661553
   0.04662456]
 [-0.04301934 -0.07700458  0.212134   ... -0.00850897  0.06289018
   0.12944861]
 [ 0.15249299  0.13689268  0.03065431 ... -0.06600383  0.32068118
   0.00435207]
 [-0.18923704  0.38313293 -0.31361306 ... -0.0812453   0.33808467
   0.27758715]]","Чехол стильный и защищает телефон, но быстро желтеет, облезает и трудно снимается."
16,"[[-0.03728032  0.10617235 -0.02583493 ...  0.05348533  0.24210408
   0.07789145]
 [-0.14228441  0.2498875  -0.32647532 ...  0.15201303  0.27953961
   0.2224661 ]
 [ 0.04146396  0.26803505  0.2336253  ... -0.05161442  0.20846517
   0.2223003 ]
 [ 0.14918731  0.08192433 -0.14303039 ...  0.27242875  0.05632689
   0.06718703]
 [ 0.13108312  0.05614553  0.11790363 ... -0.17800891  0.11111747
  -0.05826751]]","Книга с интересным содержанием, но тонкая бумага, слабый переплёт и стирающаяся краска могут разочаровать."
17,"[[-0.06834802  0.23642084  0.2580348  ...  0.01260585  0.2830202
   0.06001104]
 [ 0.27125147  0.20103869 -0.06721389 ... -0.05066795  0.02316997
   0.10658399]
 [-0.00141362  0.08965798  0.16256155 ... -0.06619619  0.40651816
   0.15155475]
 [ 0.06942651  0.27947146  0.0072769  ...  0.02609746  0.09606592
   0.24611999]
 [ 0.02349549  0.21360792  0.23807766 ...  0.08597339  0.09351682
   0.0418855 ]]","Плед мягкий и уютный, но может скатываться после стирки, линять и иметь специфический запах при покупке."
18,"[[ 0.03107552  0.01145385 -0.07841818 ... -0.12050997  0.2683188
   0.07304975]
 [-0.37261114  0.10106695 -0.03980063 ...  0.08575863  0.18413974
   0.16198024]
 [-0.09910902  0.06116097  0.22758876 ... -0.2779092   0.5818027
   0.5484922 ]
 [-0.08349047  0.10339059 -0.04749775 ... -0.23396112  0.11119189
   0.14963911]
 [-0.0820889   0.24284077  0.2028214  ... -0.13893428 -0.4035846
   0.1688973 ]]","Фен мощный и удобный, но шумный, корпус может греться, а пластик кажется хрупким."
19,"[[-0.04195837 -0.27652082  0.06186308 ...  0.3156223   0.4371094
   0.00839507]
 [-0.08165257  0.06467839 -0.17527914 ...  0.016062    0.61236817
   0.13613723]
 [-0.15056835  0.35165614  0.06843017 ...  0.11266451  0.32423097
   0.22099559]
 [-0.12471989  0.3130244   0.29380023 ... -0.17628056  0.23056144
   0.42637172]
 [ 0.13369739  0.0675583   0.12387581 ...  0.01192241 -0.01780711
  -0.01765395]]","Кофеварка компактная и варит крепкий кофе, но шумная, короткий провод, возможны протечки."
20,"[[-0.22736923  0.32970208  0.310403   ...  0.09318498  0.23278883
   0.22608468]
 [ 0.04770634  0.08932804 -0.08709805 ...  0.05145017  0.4517711
   0.01893594]
 [-0.17163791  0.15560521  0.02546751 ...  0.29441917  0.08678056
   0.22184159]
 [-0.2825764   0.0212363   0.07761221 ...  0.12149119  0.09275945
   0.23556037]
 [-0.31447306  0.44843692  0.09526917 ...  0.13181335  0.20032026
   0.24735063]]","Лампа компактная и даёт хороший свет, но пластик дешёвый, ножка может шататься, а кнопка неудобная."
21,"[[ 0.05779641  0.25203264 -0.3325792  ...  0.16926302  0.3072533
   0.04681605]
 [ 0.05340726 -0.34995645  0.28942484 ...  0.0361395   0.33597606
  -0.11731647]
 [ 0.16709405  0.18857402  0.06459413 ...  0.06657802  0.00382357
   0.12569588]
 [ 0.12263071  0.2959626   0.00077484 ... -0.41219276  0.1733011
   0.1335687 ]
 [-0.05982246  0.14536914  0.10955885 ... -0.01944929  0.25425372
   0.12267473]]","Сковорода удобная и даёт хороший результат, но тяжёлая, покрытие может облезать, а ручка нагревается."
22,"[[ 0.00526941  0.05607864 -0.00953575 ... -0.08055244 -0.05520428
   0.22505884]
 [ 0.04161949  0.08800694 -0.2637021  ...  0.04730577  0.15567565
   0.21656992]
 [-0.08593645 -0.07787959 -0.1247621  ...  0.25694337  0.21061596
   0.05107309]
 [-0.21357241  0.3761161  -0.15947217 ... -0.2855633  -0.08476749
  -0.0065226 ]
 [ 0.07864667 -0.04735521  0.13476077 ...  0.46377167  0.05979155
   0.08988468]]","Часы стильные и точные, но экран и корпус легко царапаются, браслет неудобный, а батарея держит недолго."
23,"[[ 0.15494725  0.09649503  0.05752592 ... -0.35048595  0.00652434
  -0.14222339]
 [ 0.10906657  0.03242997  0.017298   ...  0.04792581  0.10014629
   0.14837365]
 [-0.01896415  0.01295177  0.16649559 ... -0.1340445   0.3037375
   0.18210833]
 [-0.06841397  0.31786552  0.05366767 ...  0.10357829  0.06675489
   0.20912752]
 [-0.01974823  0.06052483  0.11314813 ... -0.05783702  0.0158556
   0.12655349]]","Джинсы удобные и из плотной ткани, но красятся, могут садиться после стирки и вытягиваться на коленях."
24,"[[ 0.02627387  0.23295563 -0.10903271 ... -0.2994581   0.0682802
  -0.02347096]
 [-0.0013454   0.11460374 -0.11649241 ... -0.1161788  -0.14933008
   0.40235803]
 [-0.01333732 -0.09062916  0.22242093 ... -0.36611667  0.5513543
   0.07188413]
 [ 0.24377505 -0.02211233  0.08786555 ... -0.10476557  0.04783976
   0.10965955]
 [ 0.360026    0.02832722 -0.0065867  ...  0.09199033 -0.06336673
  -0.07080182]]","Рюкзак вместительный и удобный, но лямки жёсткие, молнии могут заедать, а ткань быстро пачкается."
25,"[[-0.21909328  0.45967355  0.00983306 ... -0.1608631   0.32748863
   0.05095115]
 [ 0.20815039  0.12543014 -0.13201216 ... -0.01714462  0.19282685
   0.20559163]
 [-0.27695802 -0.20457195  0.12162935 ...  0.30715346  0.34104043
   0.26035523]
 [ 0.11548006  0.02426898  0.15971142 ... -0.08463933  0.31205633
   0.10840087]
 [-0.2283433   0.35428953 -0.01637748 ... -0.01444007  0.09300594
   0.22299962]]","Мышка удобная и стильная, но батарея быстро садится, колёсико может скрипеть, а провод коротковат."
26,"[[ 0.09842098 -0.1784275   0.08563241 ...  0.13053676  0.12021178
  -0.03042953]
 [-0.11014219  0.0438273  -0.04960412 ...  0.27768874  0.35304734
   0.04549273]
 [ 0.05314036 -0.07819002 -0.22790572 ... -0.3496422   0.23490736
   0.01566709]
 [-0.02450813  0.30233148 -0.17289849 ...  0.07767139  0.19585074
   0.15470974]
 [-0.09759901 -0.06429413 -0.1009372  ... -0.31521347  0.01039172
   0.15431347]]","Телевизор с хорошим качеством изображения и стильным дизайном, но слабый звук и проблемы с углами обзора."
27,"[[-0.00960726 -0.3529564  -0.13040666 ...  0.57508785  0.27032873
   0.04660317]
 [-0.03818705  0.06223165  0.23039035 ...  0.17226638  0.36313945
  -0.0283539 ]
 [-0.10553332  0.21676609  0.3544389  ... -0.07898065  0.32823545
   0.31974864]
 [-0.10405772 -0.2274726  -0.07682279 ... -0.07086645  0.33198553
   0.13726035]
 [ 0.01719764  0.07087617 -0.0910024  ... -0.14966558  0.18636417
   0.09587818]]","Кофемашина варит хороший кофе, но шумная, пластик дешёвый, а очистка трудоёмкая."
28,"[[-0.27242205 -0.06555905 -0.01258275 ...  0.04863129  0.37458345
   0.09256496]
 [ 0.06014482  0.0739229   0.11864553 ...  0.09056277  0.09038131
   0.04643608]
 [-0.03670872  0.11225957 -0.07629813 ... -0.23005304  0.2517254
  -0.01823436]
 [ 0.03810854  0.07558953 -0.11563853 ... -0.20800729  0.08276524
   0.08158488]
 [ 0.27257913 -0.09356119  0.28415963 ... -0.1221736   0.03142828
   0.13617378]]","Таблетка с хорошим экраном и быстрой зарядкой, но быстро тормозит, камера слабая, а зарядка держит недолго."
29,"[[ 0.04671538  0.27547958 -0.19794728 ... -0.18538599 -0.2386174
   0.20700186]
 [-0.10285134  0.05329615  0.11735799 ... -0.3173578   0.44889033
   0.19596103]
 [ 0.15339884  0.20804042 -0.09004585 ...  0.02951717  0.2100589
  -0.00298936]
 [ 0.1528134   0.24983336  0.07559311 ... -0.00479654  0.08648205
   0.09187566]
 [-0.10301057  0.00673279  0.24261111 ... -0.14058188  0.53927207
   0.38155872]]","Рюкзак вместительный и удобный, но тяжёлый, молнии туговаты, и нет места для ноутбука."
30,"[[ 0.19982903 -0.07226007  0.06236903 ...  0.29021844  0.07693852
  -0.14748976]
 [ 0.11017439  0.13087706 -0.11772911 ...  0.15268807  0.22145444
  -0.0363454 ]
 [-0.16117547 -0.10719301 -0.17200896 ...  0.08106304  0.64366966
   0.16508815]
 [ 0.06678678 -0.03112782  0.04422592 ...  0.19354674 -0.01335831
  -0.00558823]
 [ 0.14532971  0.04337537  0.01257743 ...  0.03443531  0.23047303
   0.29423675]]","Кофеварка хорошая для повседневного использования, но большая, шумная и неудобная для чистки."
31,"[[ 0.18867624 -0.06887282 -0.18919021 ...  0.2374635   0.3235468
   0.1655471 ]
 [-0.07360342  0.7358846  -0.06576807 ... -0.520022    0.17359425
  -0.08096964]
 [ 0.05519241  0.03145514 -0.05577629 ...  0.06845345  0.05347997
   0.11897388]
 [-0.02703743 -0.00824962  0.268684   ... -0.12082333  0.48030505
   0.47244304]
 [ 0.12978823  0.02641033  0.03585745 ... -0.28481615  0.09707554
   0.10032196]]","Наушники с хорошим звуком и длительным временем работы, но неудобные из-за давления на уши и не очень прочного пластика."
32,"[[-0.28241676  0.06651584  0.04830794 ... -0.00601072  0.30265996
   0.13618822]
 [-0.07439692  0.03781227 -0.25872386 ... -0.19464467 -0.05046994
   0.01699165]
 [-0.09250288  0.56439674 -0.12103177 ... -0.24727705  0.15219261
  -0.1652613 ]
 [ 0.08709018  0.0503986  -0.01639464 ...  0.07348273  0.19525193
   0.13883999]
 [-0.04943127  0.02201883  0.01443523 ... -0.27187297  0.11993607
   0.10844951]]","Телефон быстрый с хорошей камерой, но экран царапается, камера не лучшая при низком освещении, а качество сборки могло бы быть лучше."
33,"[[ 0.0589554   0.02594816 -0.10673886 ...  0.14061536  0.38531134
   0.10791042]
 [-0.02761348  0.10487969  0.10444172 ... -0.65772766  0.24317214
   0.3612901 ]
 [ 0.0670028   0.0900586  -0.08466357 ...  0.05251784  0.31262773
   0.1515794 ]
 [ 0.20175673  0.1029935  -0.09515746 ... -0.02388523  0.47363967
   0.11462465]
 [ 0.05895207  0.09084029  0.04618584 ... -0.01266525  0.21404034
   0.16698532]]","Миксер мощный, но шумный, с пластиковым корпусом и возможными проблемами с венчиками."
34,"[[ 0.11469424  0.07049195 -0.15395294 ... -0.15428548  0.17749846
   0.151195  ]
 [-0.01540831 -0.01290358  0.04810835 ... -0.02742695  0.28191167
   0.12788793]
 [ 0.04375594  0.04134863 -0.10327203 ...  0.17535251  0.20548485
   0.00409952]
 [ 0.06603298  0.03335604 -0.00881678 ... -0.20711471  0.5094999
   0.1373253 ]
 [-0.28268757 -0.06377841  0.04844513 ...  0.12351198  0.05508276
  -0.00840231]]","Швейная машинка хороша для начинающих, но сильно вибрирует и имеет несколько неудобств с ниткой и кнопками."
35,"[[ 0.00083677  0.20376804 -0.07678521 ...  0.19286594  0.18323268
   0.0661713 ]
 [ 0.03086543  0.39354602 -0.10183121 ... -0.09697788  0.10379124
  -0.07524253]
 [ 0.0143536   0.2779151   0.22693996 ...  0.05517554  0.01871741
   0.2949678 ]
 [-0.19761777  0.01300724 -0.04905451 ...  0.20057246  0.2741585
   0.16853246]
 [ 0.03433029 -0.00490859 -0.07442515 ... -0.02950704  0.3438146
   0.08737448]]","Печка с хорошей производительностью, но слабая подсветка и проблемы с равномерным прогревом."
36,"[[-0.11521609  0.47176808 -0.18256547 ... -0.14788076  0.20917645
   0.11709037]
 [-0.28985104  0.31071737  0.04361841 ...  0.02580399  0.2412776
   0.22598672]
 [ 0.15898035  0.17007697  0.2092446  ...  0.14420006 -0.060624
   0.12102855]
 [ 0.08548813  0.17580982 -0.28312021 ... -0.2891477   0.255333
   0.04504387]
 [ 0.04333981  0.52916634  0.18076238 ... -0.16138262 -0.00780476
   0.25309238]]","Зарядное устройство мощное, но плохо сидит в гнезде, коротковатые провода и отсутствие защиты от перегрева."
37,"[[-0.09157295  0.28438634  0.22043419 ...  0.25184205  0.04457636
   0.19716333]
 [-0.36964527  0.1432195   0.36892587 ... -0.2849532   0.48930457
   0.29427478]
 [-0.22306909  0.31503436 -0.01076007 ...  0.11388834  0.12625834
   0.27380887]
 [-0.03434218  0.25792837  0.18944453 ... -0.12368645 -0.12509866
   0.0738292 ]
 [ 0.3425222   0.03328447  0.22171554 ...  0.17884412  0.28498095
   0.09496758]]","Лампа яркая и долговечная, но пластиковый корпус дешёвый и есть небольшие проблемы с регулировкой яркости."
38,"[[-0.04143116  0.1359164   0.03264465 ...  0.00652977  0.22196373
   0.04049936]
 [ 0.12703206  0.01589293  0.04574684 ... -0.11382613  0.22728842
   0.04916138]
 [ 0.26768315  0.15304677  0.0312263  ...  0.05750602 -0.13476855
   0.0363465 ]
 [ 0.13033055  0.10869462  0.15480731 ... -0.03146658  0.01925856
   0.07828192]
 [ 0.02479286  0.27897885  0.18844412 ...  0.0632534   0.00935148
   0.02171019]]","Парфюм стойкий и с насыщенным ароматом, но слишком сладкий и не подходит для дневного ношения."
39,"[[-0.1316219   0.1330142   0.04315631 ... -0.21885514  0.19275837
   0.13706864]
 [-0.17230032  0.05342508 -0.30551988 ...  0.05265464  0.5139365
   0.22258234]
 [ 0.06949941  0.2494829  -0.0331612  ...  0.08908534  0.148389
   0.1488625 ]
 [-0.02362305  0.21196666 -0.061683   ... -0.10371912  0.25893682
   0.33512703]
 [ 0.13631442 -0.04589855  0.17675482 ...  0.00489716  0.29382607
  -0.13821414]]","Принтер компактный и доступный, но качество печати низкое, и часто возникают проблемы с заеданием бумаги."
40,"[[-0.0280339   0.13923985 -0.01609683 ... -0.4106673   0.20215042
   0.15239361]
 [ 0.09961464 -0.00804819 -0.12049379 ... -0.13985306  0.28720328
  -0.06205441]
 [-0.03633673  0.20473923  0.13374399 ...  0.09678844  0.18099394
   0.35396764]
 [-0.04057944  0.36450565 -0.2092618  ... -0.00593218  0.03978774
   0.2575047 ]
 [ 0.00512138  0.05966723  0.13799436 ... -0.03198399  0.29354095
   0.18456173]]","Утюг с хорошей подачей пара и мощностью, но тяжёлый, с запахом пластика и проблемами с равномерным паром."
41,"[[-0.08642897 -0.10926353 -0.06254397 ... -0.01229175  0.39217532
   0.31811258]
 [-0.04052927  0.14639248 -0.05729928 ... -0.36007598  0.21014416
   0.24288683]
 [-0.14171892  0.17531447  0.21900956 ... -0.0565162   0.33744943
   0.04629753]
 [-0.20121922 -0.03611657  0.118745   ... -0.08642279  0.11306597
   0.11283489]
 [ 0.15658113  0.01869387 -0.05934073 ...  0.11721299  0.36208698
  -0.04308913]]","Машинка для стрижки удобная и острая, но шумная, с коротким проводом и небольшой мощностью."
42,"[[-0.05993402 -0.07976586  0.01047922 ...  0.43663034  0.13354221
  -0.09998548]
 [-0.2463586   0.52895194  0.09578881 ...  0.09044803 -0.05217509
  -0.33268446]
 [-0.14134999 -0.01326817 -0.03829336 ... -0.00187561  0.4356678
   0.27993372]
 [-0.2656456   0.04067453 -0.05585335 ...  0.25143486  0.09994967
   0.06624474]
 [-0.17588037  0.22315541  0.05062771 ... -0.21413018  0.11958059
  -0.01176893]]","Смарт-часы с хорошими функциями, но трудности с настройкой, царапающийся экран и жёсткий ремешок."
43,"[[ 0.04441464  0.32504568 -0.2060631  ... -0.03076549  0.26989308
   0.22595215]
 [-0.0719536   0.02564693 -0.12464751 ...  0.10485373  0.3821278
   0.05105873]
 [-0.04667428 -0.17866091 -0.00204051 ... -0.16093108  0.52827644
   0.37292942]
 [ 0.20612895  0.17224392 -0.08134518 ... -0.09667797  0.13064381
   0.11319412]
 [-0.02795605  0.3590808   0.20607251 ...  0.0830115   0.2890828
   0.1674909 ]]","Ракетка удобная и стильная, но не очень прочная и подходит только для начинающих."
44,"[[-0.13871388  0.15026727 -0.13225175 ... -0.0250469   0.07420784
   0.14787386]
 [-0.23364282  0.47037297 -0.09016926 ... -0.05258991  0.3379735
  -0.09632888]
 [ 0.15060388  0.1856165  -0.05510278 ...  0.05140555 -0.15713604
   0.21995462]
 [-0.0551316   0.19237469 -0.00956921 ... -0.3666543   0.18338321
   0.16027401]
 [-0.10350259 -0.06172932  0.18060985 ... -0.09406785  0.2752196
   0.01003419]]","Телефон быстрый и с хорошей камерой, но имеет царапающийся корпус и проблемы с батареей."
45,"[[ 0.08268411 -0.0637207  -0.03116097 ... -0.00106619  0.24431066
   0.09603099]
 [ 0.22405504 -0.03653772 -0.04602393 ...  0.2076104   0.4957007
  -0.00801801]
 [-0.28435898 -0.12504299  0.11900006 ...  0.05496695  0.40230888
  -0.06648899]
 [-0.00091178  0.01958251  0.17881623 ... -0.13391995  0.51272774
   0.41029984]
 [-0.12456286  0.12623209  0.16298005 ... -0.01853556  0.09638257
   0.04152567]]","Мультиварка готовит быстро и удобно, но крышка плохо закрывается и пластик не самый качественный."
46,"[[ 0.09719037 -0.06554641 -0.21646826 ...  0.25945035  0.31642663
   0.131035  ]
 [-0.24923314  0.44859216 -0.21163945 ... -0.27897513  0.42488286
  -0.00914971]
 [-0.09413698  0.16423531  0.1187565  ...  0.24757402  0.34272778
  -0.02929835]
 [ 0.14859836  0.09761293  0.13156918 ... -0.07292349  0.29655713
  -0.03226158]
 [ 0.15137912 -0.05200878  0.02640488 ... -0.19565412  0.06007919
   0.17150664]]","Наушники с хорошим звуком, но неудобные, с потерями сигнала и высокой ценой."
47,"[[ 0.13092302 -0.04011074  0.11720771 ...  0.07771652  0.1947502
   0.19370155]
 [ 0.16284871  0.40609333  0.13933764 ... -0.06737216 -0.16472505
   0.07919943]
 [ 0.04717723  0.10703571  0.06748543 ... -0.12312435  0.47762242
   0.37341374]
 [-0.04959742  0.18298498  0.12592939 ... -0.24515526  0.17814806
   0.10048874]
 [-0.00112641  0.10446956  0.06300018 ... -0.1806812   0.3417937
   0.14222541]]","Фен с хорошей мощностью и температурой, но шумный, с недостатком насадок и не для тонких волос."
48,"[[-0.13697197  0.0467855  -0.3152354  ... -0.09022102  0.70101994
   0.45666936]
 [-0.07181656  0.09157757 -0.09342702 ... -0.03271742  0.39234707
   0.28437915]
 [ 0.00155079  0.2537398   0.01372427 ... -0.06343292  0.3241733
   0.28219923]
 [ 0.13632971  0.13926145 -0.03632986 ... -0.12396325  0.17149767
   0.17998841]
 [ 0.00843121  0.10930162 -0.12495441 ... -0.52276874  0.0039827
   0.03438031]]","Принтер хороший по качеству печати, но часто застревает, и картриджи дорогие."
49,"[[-0.16742462 -0.3550512  -0.01422685 ...  0.25734767  0.29727295
  -0.079329  ]
 [ 0.07076366  0.3702596  -0.01942009 ... -0.19241585 -0.08960329
   0.09930955]
 [ 0.15731637  0.00145092  0.09408724 ...  0.10984206  0.30035353
   0.24405962]
 [ 0.03304364  0.0032972  -0.10071255 ... -0.14569832  0.30854625
   0.04981607]
 [ 0.09879953  0.08709118  0.01563334 ...  0.03688711  0.33994922
   0.1105442 ]]","Кофеварка варит вкусный кофе, но трудна в уходе и немного шумная."
