,Reviews,Summary
10,"[3, 6469, 2, 12095, 3, 3700, 5814, 2044, 2, 8194, 2, 6, 3, 9890, 3, 12377, 6588, 2, 26798, 12377, 12681, 6652, 14709, 2, 22682, 5, 3, 5814, 17657, 2, 22682, 3, 2, 2533, 8452, 2, 5814, 3, 5814, 17674, 2, 2044, 6, 3, 2, 9592, 3, 2, 6588, 2, 5345, 5, 3, 2, 3700, 6609, 24832, 2795, 14982, 6588, 2, 31585, 2, 1]","[3, 2, 12095, 3, 3700, 5814, 2044, 2, 8194, 2, 3, 2795, 3, 5814, 17657, 2, 22682, 3, 2, 2533, 8452, 2, 5814, 6, 3, 9890, 3, 12377, 6588, 2, 26798, 12377, 3, 21025, 2, 15042, 12681, 6652, 14709, 2, 15042, 2, 6, 3, 2533, 3, 6652, 9890, 2, 23110, 3, 2, 2533, 14601, 2, 22581, 2, 5, 1, 0, 0, 0, 0, 0]"
11,"[3, 6652, 14391, 2, 2533, 3, 22420, 14982, 13400, 5345, 8194, 2, 6, 3, 9890, 3, 2, 14709, 2, 6725, 3, 25157, 6588, 23110, 2, 5, 3, 2, 3700, 20447, 2, 2533, 3, 9592, 7184, 12095, 2, 6, 3, 2, 10338, 5345, 6609, 1757, 2, 2795, 16624, 15042, 3, 14982, 6652, 10458, 12681, 3, 5814, 23912, 2, 2044, 2, 3, 10458, 18632, 25752, 1]","[3, 2, 14391, 2, 2533, 12681, 3, 22420, 14982, 13400, 5345, 7184, 2, 6469, 12681, 2, 1757, 9592, 6469, 6, 3, 9890, 3, 25157, 6588, 23110, 2, 3, 2, 14709, 2, 6725, 6, 12681, 17148, 2, 3, 2, 1757, 13400, 2, 6588, 2, 6725, 3, 2795, 3, 12095, 2, 1757, 24832, 2044, 3, 2, 3700, 20447, 2, 2795, 3, 21025, 2, 3700, 6725, 1]"
12,"[3, 2795, 2, 23912, 2, 12095, 3, 2, 14709, 12377, 6588, 2, 8194, 2, 6, 3, 9890, 3, 2, 10458, 10338, 12681, 21044, 20447, 17148, 5345, 2, 5, 3, 13400, 2, 9890, 6652, 3, 5814, 16811, 17674, 22123, 6, 3, 9890, 3, 2, 17148, 10458, 2795, 6652, 3, 2, 23912, 2, 23110, 2, 5, 3, 25157, 6588, 23110, 1757, 3, 19473, 15517, 14601, 1]","[3, 2, 23912, 2, 12095, 3, 2, 8452, 12095, 2, 3, 2795, 3, 22420, 14982, 13400, 5345, 8194, 2, 6, 3, 9890, 3, 2, 17148, 10458, 2795, 6652, 3, 2, 23912, 2, 23110, 2, 6, 3, 25157, 6588, 23110, 1757, 3, 19473, 15517, 14601, 3, 21025, 2, 3700, 6725, 3, 2, 6725, 2, 3, 2044, 2, 2533, 5345, 7184, 2, 6, 3, 2533, 1]"
13,"[3, 29577, 19414, 10338, 20000, 3, 3700, 5814, 2044, 2, 8194, 2, 6, 3, 14391, 2, 1757, 2, 2044, 3, 14142, 3, 2, 14709, 2, 2044, 7948, 15042, 6, 3, 9890, 3, 23912, 2, 12095, 3, 2, 13400, 15042, 5345, 2, 5, 3, 14982, 2, 21044, 7184, 3, 8194, 2, 22141, 3, 2, 2533, 7948, 2, 22581, 2, 5345, 2, 3, 2, 1757, 1]","[3, 2, 12377, 19414, 10338, 20000, 3, 3700, 5814, 2044, 2, 8194, 2, 3, 2795, 12681, 3, 2, 2044, 10338, 2, 2795, 6469, 3, 25873, 18352, 2, 14709, 2, 2533, 8452, 7184, 2, 6469, 3, 2, 2044, 6652, 8452, 2, 18352, 25083, 6, 3, 9890, 3, 23912, 2, 12095, 3, 2, 13400, 15042, 5345, 2, 6, 3, 14982, 2, 21044, 7184, 3, 21025, 1]"
14,"[3, 25644, 8452, 6725, 12095, 3, 6725, 2, 17148, 2, 6, 3, 9890, 2, 3700, 3, 2, 14709, 3, 4536, 6, 3, 14142, 3, 6469, 2, 8452, 2, 7184, 3700, 5, 3, 2, 18737, 19229, 3, 2, 17657, 19414, 2, 3, 10458, 2795, 8452, 23110, 3, 8194, 2, 17674, 14391, 14982, 6588, 2, 12681, 2, 2795, 6588, 5345, 2, 3, 12377, 6469, 12095, 1]","[3, 2, 3700, 8452, 6725, 12095, 3, 6725, 2, 17148, 2, 3, 2795, 3, 6588, 2, 12095, 2, 6, 3, 9890, 3, 21025, 2, 15042, 3, 6725, 17657, 2, 6725, 2, 3, 2, 18632, 6469, 3700, 3, 2, 18737, 19229, 3, 10458, 2795, 8452, 23110, 6, 3, 6469, 17674, 14391, 2, 3, 2, 2533, 1757, 20000, 15042, 6, 3, 2533, 3, 23912, 12095, 1]"
15,"[3, 2, 1757, 2, 17674, 3, 10458, 2795, 6588, 2, 7184, 2, 6, 3, 9890, 3, 2, 10458, 10338, 3, 2, 2044, 2, 1757, 6588, 14982, 6588, 5, 3, 2, 6588, 17059, 9890, 3, 26798, 5814, 22682, 6, 3, 9890, 12681, 14391, 20447, 15042, 5345, 2, 12681, 3, 6725, 23912, 5814, 2044, 6469, 5, 3, 2, 2044, 12377, 6609, 22420, 2, 3, 2044, 1]","[3, 2, 1757, 2, 17674, 3, 10458, 2795, 6588, 2, 7184, 2, 3, 2795, 3, 2, 2533, 2, 2795, 2, 2533, 15042, 3, 14982, 19229, 2, 25752, 6, 3, 9890, 3, 2, 10458, 10338, 3, 2, 1757, 6588, 14982, 15042, 6, 3, 2044, 2, 19229, 2, 2533, 15042, 3, 2795, 3, 6725, 23912, 5814, 9890, 12681, 14391, 20447, 15042, 5345, 2, 5, 1, 0]"
16,"[3, 5814, 18737, 15517, 6609, 12095, 3, 2, 10458, 7948, 2, 6, 8724, 5345, 2, 3, 2, 1757, 21044, 1757, 6, 3, 9890, 3, 12377, 10338, 2, 12095, 3, 2, 17148, 12681, 19229, 2, 12095, 3, 2, 2044, 6469, 2, 15517, 5, 3, 6652, 14391, 2, 2533, 3, 22420, 14982, 13400, 5345, 8194, 2, 6, 3, 9890, 3, 2, 3700, 20447, 2, 2533, 1]","[3, 2, 14391, 2, 2533, 12681, 3, 22420, 14982, 13400, 5345, 7184, 2, 6469, 24697, 5814, 17657, 2, 27616, 25083, 6, 3, 9890, 3, 9592, 7184, 12095, 2, 3, 2, 3700, 20447, 2, 2533, 6, 12681, 17148, 2, 3, 2, 1757, 13400, 2, 6588, 2, 6725, 3, 2795, 3, 10458, 2795, 7948, 2, 2533, 2, 5345, 2, 3, 6652, 7948, 5345, 12095, 3, 1]"
17,"[3, 2, 19229, 5814, 3, 6469, 2, 23110, 2, 3, 2795, 3, 6725, 2, 6588, 2, 6, 3, 9890, 3, 2, 18737, 19229, 3, 10458, 2795, 8452, 23110, 12681, 12095, 15517, 6588, 5345, 2, 5, 3, 2, 6609, 15042, 3, 2, 14709, 2, 6725, 7184, 2, 6, 3, 9890, 3, 2044, 2, 2795, 20000, 17148, 6, 3, 2, 9592, 3, 2, 3700, 5814, 1]","[3, 2, 19229, 5814, 3, 6469, 2, 23110, 2, 3, 2795, 3, 3700, 2, 6725, 7184, 2, 6, 3, 9890, 3, 21025, 2, 15042, 12681, 12095, 6725, 2, 16624, 6725, 2, 5345, 2, 3, 2, 18737, 19229, 3, 10458, 2795, 8452, 23110, 6, 3, 14601, 7184, 2, 6725, 2, 3, 2795, 3, 2795, 6469, 15042, 2, 12681, 2, 1757, 2, 2795, 2, 2795, 1]"
18,"[3, 2, 22123, 3, 21025, 2, 7184, 2, 6, 8724, 17674, 18737, 2, 12681, 3700, 2, 22682, 3, 2, 10458, 10338, 6, 3, 9890, 3, 2, 3700, 6469, 7184, 2, 5, 3, 6588, 2, 23110, 2, 6, 3, 3700, 5814, 2044, 2, 9890, 3, 5814, 17657, 2, 22581, 2, 8724, 3, 23912, 6652, 1757, 6, 3, 9890, 3, 6652, 9890, 2, 23110, 3, 1]","[3, 2, 22123, 3, 21025, 2, 7184, 2, 3, 2795, 3, 3700, 5814, 2044, 2, 7184, 2, 6, 3, 9890, 3, 2, 3700, 6469, 7184, 2, 6, 3, 12377, 8452, 2, 3700, 5345, 3, 21025, 2, 15042, 3, 2, 13400, 6725, 2, 5345, 2, 6, 3, 2533, 3, 2, 17148, 10458, 2795, 6652, 3, 12095, 2, 15042, 5345, 2, 3, 2, 23912, 2, 1]"
19,"[3, 12377, 2, 1757, 16624, 8452, 12095, 3, 2, 2044, 10338, 2, 2533, 2, 6, 3, 9890, 8724, 17238, 3700, 12681, 21044, 2, 9890, 3, 2, 2533, 14601, 16624, 6725, 2, 5, 3, 2, 5345, 2, 13400, 5345, 5345, 2044, 3, 16624, 14709, 6725, 3, 6652, 13400, 2, 23110, 2, 6, 3, 9890, 3, 2, 3700, 21325, 6725, 3, 26798, 6588, 2, 9890, 1]","[3, 2, 2044, 2, 1757, 16624, 8452, 12095, 3, 12377, 6469, 2, 2533, 6652, 6725, 8194, 2, 3, 2795, 3, 16624, 14709, 6725, 3, 6652, 13400, 2, 23110, 2, 3, 12377, 2, 1757, 6, 3, 9890, 3, 2, 3700, 6469, 8194, 2, 6, 3, 12377, 10338, 6725, 23110, 2, 3, 2, 29812, 17238, 6, 3, 19414, 2, 21025, 2, 7184, 2, 3, 2, 1]"
20,"[3, 17148, 6469, 2, 2533, 12681, 6609, 15042, 22682, 3, 2, 2044, 10338, 2, 2044, 6, 3, 9890, 3, 2, 17148, 10458, 2795, 6652, 3, 12377, 8452, 2, 3700, 25945, 3, 19473, 2, 6609, 2, 5, 3, 13400, 2, 3700, 14601, 23912, 15042, 5345, 2, 3, 3700, 5814, 2044, 2, 9890, 6, 3, 9890, 3, 9890, 2, 12095, 3, 2, 2533, 15517, 15042, 1]","[3, 2, 2533, 6469, 2, 2533, 3, 12377, 6469, 2, 2533, 6652, 6725, 8194, 2, 3, 2795, 3, 20000, 2, 6725, 3, 2, 2044, 10338, 2, 2795, 2, 12681, 6609, 15042, 6, 3, 9890, 3, 2, 17148, 10458, 2795, 6652, 3, 19473, 2, 6609, 2, 6, 3, 9890, 2, 12095, 3, 21025, 2, 15042, 3, 2, 22581, 22581, 2, 5345, 2, 6, 3, 1]"
21,"[3, 29577, 19414, 10338, 20000, 3, 3700, 5814, 2044, 2, 8194, 2, 6, 3, 9890, 3, 23912, 2, 12095, 3, 2, 10458, 10338, 3, 8194, 2, 13400, 16624, 15042, 5345, 2, 5, 3, 2, 6588, 2, 20000, 3, 2, 17674, 3700, 2, 2533, 2, 6725, 5345, 2, 8724, 25644, 5345, 7184, 2, 1757, 6, 3, 9890, 3, 6469, 2, 6725, 2, 12681, 21044, 1]","[3, 2, 12377, 19414, 10338, 20000, 3, 3700, 5814, 2044, 2, 8194, 2, 3, 2795, 3, 20000, 2, 6725, 3, 2, 2044, 10338, 2, 2795, 2, 3, 13400, 2, 3700, 6588, 2, 15517, 6725, 6, 3, 9890, 3, 6725, 2, 17148, 2, 6, 3, 2, 2044, 6652, 8452, 2, 18352, 1757, 3, 21025, 2, 15042, 3, 2044, 2, 19229, 2, 22581, 2, 6, 1]"
22,"[3, 2, 2533, 5345, 2, 3, 6652, 7948, 26798, 6609, 2, 1757, 6, 3, 9890, 3, 2, 1757, 13400, 2, 3, 14142, 19473, 6588, 2, 3, 2, 2044, 2, 25610, 14601, 5345, 2, 3, 2, 2533, 7948, 2, 22420, 2, 5, 3, 9592, 2, 31585, 2, 3, 2, 17238, 2533, 3, 2, 2044, 10338, 2, 2533, 2, 6, 3, 9890, 3, 2, 7948, 1]","[3, 2, 2533, 5345, 2, 3, 10458, 2795, 6588, 2, 7184, 2, 1757, 3, 2795, 3, 9592, 2, 7184, 2, 1757, 6, 3, 9890, 3, 2, 6652, 7948, 7184, 3, 2795, 3, 12377, 8452, 2, 3700, 5345, 3, 19229, 2, 12377, 3, 2, 2533, 7948, 2, 2533, 2, 6725, 5345, 2, 6, 3, 2, 7948, 5345, 6588, 15042, 3, 14142, 3700, 5814, 2044, 1]"
23,"[3, 5814, 2, 22420, 5345, 2, 3, 2, 6588, 17059, 7184, 2, 1757, 6, 3, 9890, 3, 26798, 6588, 2, 9890, 3, 6652, 7948, 5345, 2, 6725, 5345, 2, 5, 3, 22036, 14601, 3, 17059, 14601, 2, 9890, 6, 3, 9890, 3, 2, 18737, 19229, 3, 10458, 2795, 8452, 23110, 3, 2, 17238, 22036, 14601, 5, 3, 6725, 12095, 7184, 2, 3, 12095, 1]","[3, 2, 22420, 5345, 2, 3, 3700, 5814, 2044, 2, 7184, 2, 1757, 3, 2795, 3, 2795, 2, 3, 2, 6588, 17059, 9890, 2, 3, 6725, 12095, 14391, 6, 3, 9890, 3, 6652, 7948, 5345, 2, 6725, 5345, 2, 6, 3, 21025, 2, 3700, 6725, 3, 25945, 5814, 22682, 2, 5345, 2, 3, 2, 18737, 19229, 3, 10458, 2795, 8452, 23110, 3, 2795, 1]"
24,"[3, 8452, 2, 6652, 2, 2533, 6652, 8724, 25157, 10458, 2795, 14982, 6588, 2, 7184, 2, 6, 3, 9890, 3, 6588, 2, 6469, 23110, 3, 2, 10458, 23110, 1757, 5, 3, 6469, 9890, 2, 2044, 3, 12095, 8452, 20447, 31545, 6, 3, 9890, 3, 6469, 17674, 14391, 2795, 3, 14142, 3, 25945, 6469, 2, 1757, 3, 8194, 5814, 2, 7184, 2, 1757, 5, 1]","[3, 2, 6652, 2, 2533, 6652, 8724, 25157, 10458, 2795, 14982, 6588, 2, 7184, 2, 3, 2795, 3, 3700, 5814, 2044, 2, 7184, 2, 6, 3, 9890, 3, 6588, 2, 6469, 23110, 3, 2, 10458, 23110, 1757, 6, 3, 6469, 17674, 14391, 2795, 3, 21025, 2, 3700, 6725, 3, 2, 2533, 1757, 20000, 6725, 2, 6, 3, 2533, 3, 6725, 12095, 7184, 2, 1]"
25,"[3, 6469, 2, 12095, 3, 3700, 5814, 2044, 2, 8194, 2, 6, 3, 9890, 3, 2, 2533, 15517, 13400, 2, 12095, 3, 25945, 5814, 22682, 5345, 2, 3, 2, 10458, 10338, 5, 3, 5814, 2795, 2, 2533, 2, 7184, 3, 10458, 2795, 6588, 2, 7184, 2, 6, 3, 9890, 3, 12377, 6588, 2, 26798, 12377, 12681, 6652, 14709, 2, 22682, 5, 3, 6652, 1]","[3, 2, 12095, 3, 3700, 5814, 2044, 2, 8194, 2, 3, 2795, 3, 10458, 2795, 6588, 2, 8194, 2, 6, 3, 9890, 3, 2, 2533, 15517, 13400, 2, 3, 2, 10458, 10338, 3, 25945, 5814, 22682, 5345, 2, 6, 3, 12377, 6588, 2, 26798, 12377, 3, 21025, 2, 15042, 12681, 6652, 14709, 2, 15042, 2, 6, 3, 2533, 3, 2, 29812, 17238, 3, 1]"
26,"[3, 14982, 19229, 25610, 2, 18632, 3, 17059, 14601, 2, 7184, 2, 6, 3, 12095, 8452, 18352, 7184, 12095, 3, 2, 6725, 12095, 2, 6, 3, 9890, 3, 2, 6609, 3700, 6652, 12681, 17148, 2, 5, 3, 19229, 2, 12377, 3, 8194, 10458, 10338, 22682, 2, 6, 3, 9890, 3, 2, 3700, 6588, 2, 6725, 3, 14142, 8724, 22036, 2, 20000, 3, 13400, 1]","[3, 2, 1757, 19229, 25610, 2, 18632, 12681, 3, 2, 2044, 10338, 2, 2795, 6469, 3, 12095, 2, 1757, 24832, 2044, 6469, 3, 2795, 2, 2044, 2, 7948, 2, 21302, 2, 3, 2795, 3, 10458, 2795, 6588, 2, 7184, 2, 6469, 3, 5814, 2795, 2, 2533, 2, 9890, 6469, 6, 3, 9890, 12681, 17148, 2, 3, 2, 6609, 3700, 6652, 3, 2795, 3, 1]"
27,"[3, 12377, 2, 1757, 3, 16624, 14709, 6725, 3, 17059, 14601, 2, 7184, 2, 6, 3, 9890, 3, 2044, 2, 22123, 2, 3, 2, 3700, 6469, 8194, 2, 5, 3, 2, 10338, 10458, 2533, 2, 8724, 3, 26672, 2, 17674, 2, 16811, 27616, 2795, 6, 3, 9890, 3, 2, 3, 2, 2533, 25157, 18352, 6588, 6, 3, 2, 9592, 3, 2795, 9890, 2, 1]","[3, 2, 2044, 2, 1757, 20447, 2, 2795, 8194, 3, 16624, 14709, 6725, 3, 2, 2044, 10338, 2, 2795, 2, 3, 12377, 2, 1757, 6, 3, 9890, 3, 2, 3700, 6469, 8194, 2, 6, 3, 2, 17148, 10458, 2795, 6652, 3, 19473, 2, 6609, 2, 6, 3, 2533, 3, 2044, 2, 2795, 10458, 12095, 3, 6725, 23912, 5814, 2044, 2, 6469, 12095, 2, 1]"
28,"[3, 15517, 2, 6588, 15042, 12095, 3, 2, 10458, 10338, 3, 9592, 8452, 21025, 2, 22682, 6, 3, 12377, 2, 20000, 3, 6469, 9890, 2, 2044, 3, 2, 14709, 21044, 2, 21302, 2, 3, 17059, 6652, 8452, 2, 9592, 5, 3, 2, 25752, 7948, 25610, 6588, 5345, 2, 3, 2, 6652, 7948, 7184, 6, 3, 2, 8452, 23110, 2, 6, 3, 2, 6725, 1]","[3, 2, 2533, 2, 6588, 15042, 12095, 12681, 3, 2, 2044, 10338, 2, 2795, 6469, 3, 2, 6652, 7948, 9890, 6469, 3, 2795, 3, 2, 10458, 10338, 2, 3, 2, 2533, 8452, 2, 5814, 12377, 2, 6, 3, 9890, 3, 2, 10458, 10338, 3, 9592, 8452, 21025, 2, 22682, 6, 3, 12095, 25157, 7948, 12681, 17148, 2, 2533, 2, 6, 3, 2533, 3, 1]"
29,"[3, 8452, 2, 6652, 2, 2533, 6652, 3, 3700, 5814, 2044, 2, 7184, 2, 6, 3, 6469, 9890, 2, 2044, 3, 12095, 8452, 20447, 31545, 6, 3, 9890, 3, 6469, 17674, 14391, 2795, 12681, 3, 6725, 23912, 5814, 2044, 6469, 3, 2, 2533, 10458, 2, 2795, 16624, 2, 6725, 5345, 2, 5, 3, 12095, 2, 1757, 24832, 2044, 3, 6725, 12095, 14391, 3, 1]","[3, 2, 6652, 2, 2533, 6652, 8724, 25157, 10458, 2795, 14982, 6588, 2, 7184, 2, 3, 2795, 3, 3700, 5814, 2044, 2, 7184, 2, 6, 3, 9890, 3, 6725, 2, 6588, 2, 6, 3, 6469, 17674, 14391, 2795, 3, 6725, 3700, 2, 16811, 22581, 2, 6, 3, 2795, 3, 14142, 6725, 3, 25157, 10458, 2533, 3, 5814, 6588, 2, 3, 9890, 3700, 6725, 1]"
