,Unnamed: 0,User review,Review date,Star review,Text length,Has media,Has answer,Written by bot
113,113,"[3, 3, 3]",2024-09-23,5,28,0,0,0
114,114,"[3, 3]",2024-09-23,5,16,0,0,0
115,115,"[3, 3, 3, 3, 3, 3]",2024-09-22,2,48,0,0,0
116,116,"[3, 3, 3]",2024-09-21,5,22,0,0,0
117,117,"[3, 3, 3, 3]",2024-09-19,3,26,0,0,0
118,118,[],2024-09-19,5,1,0,0,0
119,119,"[3, 328]",2024-09-18,5,16,0,0,0
120,120,"[3, 3]",2024-09-17,5,14,0,0,0
121,121,"[3, 3, 328]",2024-09-13,5,15,0,0,0
122,122,"[3, 3, 3, 3, 3, 3, 3, 3, 328, 3, 3, 3, 3]",2024-09-12,4,106,0,0,0
123,123,[3],2024-09-12,5,9,0,0,0
124,124,"[3, 3]",2024-09-12,5,16,0,0,0
125,125,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-09-12,5,171,0,0,0
126,126,"[3, 3]",2024-09-11,5,18,0,0,0
127,127,[3],2024-09-10,4,4,0,0,0
128,128,"[3, 3, 3, 3, 3]",2024-09-08,5,35,0,0,0
129,129,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-09-03,5,160,0,0,0
130,130,"[3, 3, 3, 3, 3, 328, 328, 328]",2024-09-01,5,42,0,0,0
131,131,"[3, 3, 3, 3]",2024-08-31,5,29,0,0,0
132,132,"[3, 3, 3, 3]",2024-08-27,5,33,0,0,0
133,133,"[3, 3]",2024-08-27,2,18,0,0,0
134,134,[3],2024-08-22,3,9,0,0,0
135,135,[3],2024-08-21,5,8,0,0,0
136,136,[3],2024-08-20,5,14,0,0,0
137,137,"[3, 3, 3, 3, 3, 3]",2024-08-19,5,40,0,0,0
138,138,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-08-17,5,136,0,0,0
139,139,"[3, 3, 328]",2024-08-17,5,17,0,0,0
140,140,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 12, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-08-14,5,152,0,0,0
141,141,"[3, 3, 3, 3, 3, 43, 3, 3]",2024-08-14,2,65,0,0,0
142,142,[3],2024-08-13,5,7,0,0,0
143,143,"[3, 3]",2024-08-10,5,13,0,0,0
144,144,"[3, 3, 3, 3, 1898, 3, 3]",2024-08-07,5,62,0,0,0
145,145,"[3, 3]",2024-08-05,5,10,0,0,0
146,146,"[3, 3, 3, 3, 3, 3, 3]",2024-08-04,4,46,0,0,0
147,147,"[3, 3, 3, 3, 3]",2024-08-04,5,40,0,0,0
148,148,"[3, 3, 3, 3]",2024-08-02,5,29,0,0,0
149,149,[3],2024-08-02,5,4,0,0,0
150,150,[3],2024-08-02,5,11,0,0,0
151,151,"[3, 3]",2024-08-01,5,14,0,0,0
152,152,"[3, 3, 3, 328]",2024-08-01,5,24,0,0,0
153,153,"[3, 3, 3]",2024-07-31,5,22,1,0,0
154,154,[3],2024-07-31,5,4,0,0,0
155,155,"[3, 3]",2024-07-31,5,26,0,0,0
156,156,"[3, 3, 3, 3, 3]",2024-07-30,5,42,0,0,0
157,157,"[3, 328]",2024-07-30,5,8,0,0,0
158,158,"[3, 3]",2024-07-29,4,17,0,0,0
159,159,"[3, 3]",2024-07-29,5,26,0,0,0
160,160,"[3, 3]",2024-07-29,5,16,1,0,0
161,161,"[3, 3, 3, 328]",2024-07-28,5,21,0,0,0
162,162,"[3, 3, 328]",2024-07-28,5,15,1,0,0
163,163,"[1898, 3, 3]",2024-07-27,4,26,1,0,0
164,164,"[3, 3]",2024-07-27,5,31,0,0,0
165,165,"[3, 3, 3, 3, 3]",2024-07-27,5,33,0,0,0
166,166,[3],2024-07-27,5,4,0,0,0
167,167,"[3, 3]",2024-07-26,5,13,1,0,0
168,168,"[3, 3, 3, 3, 3]",2024-07-26,5,54,0,0,0
169,169,"[3, 3]",2024-07-26,5,13,1,0,0
170,170,"[3, 3, 3, 3, 3, 3]",2024-07-26,2,44,0,0,0
171,171,"[3, 3, 3, 3, 3, 3, 3, 12, 3, 3, 3, 3]",2024-07-26,5,91,0,0,0
172,172,"[3, 3, 328, 3, 3, 328, 3, 3, 3, 3, 3, 328, 3, 328]",2024-07-25,5,88,0,0,0
173,173,"[3, 3, 3, 3, 3, 3, 328, 3, 3, 3, 3, 3, 3, 3]",2024-07-25,5,88,1,0,0
174,174,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-07-25,5,79,0,0,0
175,175,"[3, 3]",2024-07-25,5,16,0,0,0
176,176,"[3, 3, 3, 3, 3, 3, 3, 3]",2024-07-25,5,61,0,0,0
177,177,"[3, 3, 3, 3]",2024-07-25,5,30,0,0,0
178,178,"[3, 3, 3, 3, 3, 3]",2024-07-24,5,54,0,0,0
179,179,"[3, 3, 3, 3]",2024-07-24,4,32,1,0,0
180,180,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-07-24,5,82,0,0,0
181,181,[3],2024-07-24,5,6,0,0,0
182,182,"[3, 3, 3, 3]",2024-07-24,5,36,0,0,0
183,183,"[3, 3]",2024-10-10,5,16,0,0,0
184,184,"[3, 3, 12, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-10-09,5,97,0,0,0
185,185,"[3, 3, 3, 3, 3, 3]",2024-10-06,5,44,0,0,0
186,186,"[3, 3, 3, 3, 3, 3, 3]",2024-10-04,3,45,0,0,0
187,187,"[3, 3]",2024-10-03,5,8,1,0,0
188,188,"[3, 3, 3, 3]",2024-10-01,4,31,0,0,0
189,189,"[3, 3, 3]",2024-09-29,5,27,0,0,0
190,190,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-09-29,3,216,0,0,0
191,191,"[3, 3, 3, 3, 3]",2024-09-29,5,48,0,0,0
192,192,[3],2024-09-27,5,4,0,0,0
193,193,[3],2024-09-25,4,9,0,0,0
194,194,"[3, 3, 3]",2024-09-23,3,23,0,0,0
195,195,"[3, 3, 3818, 3, 3, 3761]",2024-09-19,3,31,0,0,0
196,196,[3],2024-09-17,5,5,0,0,0
197,197,"[3, 3, 3]",2024-09-15,3,28,0,0,0
198,198,"[3, 3, 328]",2024-09-15,5,17,0,0,0
199,199,"[3, 3, 3, 3, 3, 245]",2024-09-15,5,50,1,0,0
200,200,[3],2024-09-12,3,9,0,0,0
201,201,[3],2024-09-11,5,8,0,0,0
202,202,"[3, 3, 3]",2024-09-08,5,34,0,0,0
203,203,"[3, 3, 176, 3]",2024-09-06,1,33,0,0,0
204,204,"[3, 3, 3]",2024-09-04,5,31,0,0,0
205,205,[3],2024-09-04,5,5,0,0,0
206,206,"[3, 3, 3, 3, 3, 3, 3]",2024-09-02,5,62,1,0,0
207,207,[3],2024-08-30,5,7,0,0,0
208,208,"[3, 3]",2024-08-26,5,13,0,0,0
209,209,"[3, 3, 3, 3, 3, 3, 462, 3, 3, 462, 3, 3, 3, 3, 3, 3, 12, 3, 3, 3]",2024-08-22,5,155,0,0,0
210,210,"[3, 3]",2024-08-15,5,16,0,0,0
211,211,"[3, 3, 3, 3]",2024-08-05,5,38,0,0,0
212,212,"[3, 3, 3]",2024-08-01,5,33,0,0,0
213,213,"[3, 3, 3, 3]",2024-07-31,5,25,0,0,0
214,214,"[3, 3, 3, 3, 3, 3]",2024-07-27,5,47,0,0,0
215,215,"[3, 3, 3]",2024-07-24,5,32,0,0,0
216,216,"[3, 3]",2024-07-23,5,16,0,0,0
217,217,"[3, 3, 3, 3, 3]",2024-07-23,4,34,0,0,0
218,218,"[3, 3, 3]",2024-07-22,5,37,0,0,0
219,219,"[3, 3, 3, 3, 3, 3]",2024-07-21,4,46,0,0,0
220,220,"[3, 3, 3]",2024-07-17,5,26,0,0,0
221,221,[3],2024-07-10,5,10,0,0,0
222,222,"[3, 3]",2024-07-10,5,17,0,0,0
223,223,"[3, 3]",2024-07-09,5,16,0,0,0
224,224,"[3, 3, 3, 3, 3]",2024-07-01,5,48,0,0,0
225,225,[3],2024-06-30,5,8,0,0,0
226,226,"[3, 3]",2024-06-29,5,18,0,0,0
227,227,"[3, 3, 3, 3, 3]",2024-06-28,5,47,0,0,0
228,228,[3],2024-06-22,5,8,0,0,0
229,229,"[3, 3, 3]",2024-06-21,5,31,0,0,0
230,230,"[3, 3, 3]",2024-06-16,5,23,0,0,0
231,231,[3],2024-06-11,3,9,0,0,0
232,232,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-06-04,5,74,0,0,0
233,233,"[3, 3, 3, 3, 3, 3, 3, 3]",2024-05-31,5,60,1,0,0
234,234,"[3, 3, 3, 3]",2024-05-30,5,20,0,0,0
235,235,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-05-30,1,197,0,0,0
236,236,"[3, 246, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-05-28,5,85,1,0,0
237,237,"[3, 3]",2024-05-27,5,16,0,0,0
238,238,"[3, 3, 3, 3, 3, 134, 3]",2024-05-23,5,57,1,0,0
239,239,"[3, 3, 3, 3]",2024-05-20,5,35,0,0,0
240,240,[3],2024-05-16,5,3,0,0,0
241,241,"[3, 3, 3, 3]",2024-05-04,5,35,0,0,0
242,242,[3],2024-05-04,5,9,0,0,0
243,243,"[3, 3, 3, 3]",2024-04-30,5,29,0,0,0
244,244,[3],2024-04-30,4,4,0,0,0
245,245,[3],2024-04-26,5,1,0,0,0
246,246,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-04-25,5,105,0,0,0
247,247,"[3, 3, 3, 3, 3]",2024-04-18,3,31,0,0,0
248,248,"[3, 3, 3]",2024-04-16,1,12,0,0,0
249,249,"[3, 3, 3, 43, 43, 3, 3]",2024-04-07,5,38,0,0,0
250,250,"[3, 3, 3, 3]",2024-04-02,5,33,0,0,0
251,251,"[3, 3, 3, 3, 3, 12, 3, 3]",2024-03-31,5,68,0,0,0
252,252,"[3, 3]",2024-03-30,3,15,0,0,0
253,253,"[3, 3]",2024-03-27,5,21,0,0,0
254,254,"[3, 3, 3, 3, 3]",2024-03-25,4,54,0,0,0
255,255,"[3, 3, 3, 3, 3]",2024-03-24,5,43,1,0,0
256,256,"[3, 3]",2024-03-22,5,16,0,0,0
257,257,"[3, 3, 3, 3, 3]",2024-03-22,5,46,0,0,0
258,258,"[3, 3, 3, 3]",2024-03-21,5,35,0,0,0
259,259,"[176, 3, 3, 3]",2024-03-20,1,22,1,0,0
260,260,"[3, 3]",2024-03-13,4,23,0,0,0
261,261,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-03-10,2,133,0,0,0
262,262,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-03-09,5,87,0,0,0
263,263,"[3, 3, 3, 3, 3]",2024-03-09,5,35,0,0,0
264,264,"[3, 3, 3]",2024-03-08,5,17,0,0,0
265,265,"[3, 3]",2024-03-03,5,27,0,0,0
266,266,"[3, 3, 3]",2024-03-01,5,35,0,0,0
267,267,"[3, 3, 3]",2024-02-29,3,29,0,0,0
268,268,"[3, 3, 3, 3]",2024-02-27,4,24,0,0,0
269,269,"[3, 3, 3]",2024-02-26,5,31,0,0,0
270,270,"[3, 3, 3, 3, 3, 3, 3]",2024-02-23,5,62,0,0,0
271,271,[3],2024-05-24,5,4,0,0,0
272,272,"[3, 3, 3]",2024-02-21,5,35,0,0,0
273,273,"[3, 3, 3]",2024-02-19,5,34,0,0,0
274,274,"[3, 3, 3, 3]",2024-02-11,4,52,0,0,0
275,275,"[3, 3]",2024-02-09,5,27,0,0,0
276,276,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 328, 3, 3, 3, 3, 3, 3, 3, 3, 4958, 3, 2023, 3, 3, 3, 328]",2024-09-26,5,202,0,0,0
277,277,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 12, 3, 3, 3, 3]",2024-10-08,2,124,0,0,0
278,278,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-10-04,4,112,0,0,0
279,279,"[3, 3, 3, 3, 3, 3]",2024-10-02,5,55,0,0,0
280,280,"[3, 3, 3, 3, 3, 3, 3, 3, 328]",2024-10-02,1,64,0,0,0
281,281,"[3, 3]",2024-09-22,5,10,0,0,0
282,282,"[3, 3, 3]",2024-09-16,5,36,0,0,0
283,283,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-09-12,4,77,0,0,0
284,284,"[3, 3, 3, 3, 3, 3, 3, 3]",2024-09-02,4,46,1,0,0
285,285,[],2024-08-22,5,1,0,0,0
286,286,"[3, 3]",2024-08-22,5,21,0,0,0
287,287,"[3, 3]",2024-08-21,5,13,0,0,0
288,288,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-08-21,5,70,1,0,0
289,289,"[3, 3, 3, 3]",2024-08-17,5,28,0,0,0
290,290,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 24810, 26673, 3, 3, 3, 3, 3, 3, 3]",2024-08-14,5,183,0,0,0
291,291,"[3, 3, 328, 328, 328]",2024-08-14,5,15,1,0,0
292,292,[3],2024-08-06,5,4,0,0,0
293,293,"[3, 3, 3]",2024-07-25,3,31,0,0,0
294,294,"[3, 3]",2024-07-05,1,16,0,0,0
295,295,"[3, 3, 3, 3, 3, 3, 3, 3]",2024-05-22,5,60,0,0,0
296,296,"[3, 3, 3, 3, 3, 3, 3, 3]",2024-05-08,5,55,0,0,0
297,297,"[3, 3, 3]",2024-04-14,5,26,0,0,0
298,298,"[3, 3, 3, 3, 3, 176, 3, 3, 3, 3, 3]",2024-04-05,5,92,0,0,0
299,299,"[3, 3, 3, 3, 3, 3, 3]",2024-03-22,5,54,0,0,0
300,300,"[3, 3, 328, 3, 3, 3]",2024-03-21,5,40,0,0,0
301,301,"[3, 3]",2024-03-16,5,26,0,0,0
302,302,[3],2024-03-14,5,4,0,0,0
303,303,"[3, 3, 3, 3]",2024-02-22,5,37,0,0,0
304,304,"[3, 3, 3, 3, 3]",2024-02-21,5,55,0,0,0
305,305,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-02-19,5,120,0,0,0
306,306,"[3, 3, 3, 3]",2024-02-07,4,40,0,0,0
307,307,"[3, 3, 3, 3]",2024-01-21,5,42,0,0,0
308,308,"[3, 3, 3, 3]",2024-01-19,5,52,0,0,0
309,309,"[3, 3]",2024-01-15,5,27,0,0,0
310,310,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-01-08,5,117,1,0,0
311,311,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2023-12-31,5,93,0,0,0
312,312,"[3, 3, 3]",2023-12-27,5,44,0,0,0
313,313,"[3, 3, 3, 3]",2023-12-20,5,42,0,0,0
314,314,"[3, 3]",2023-12-17,5,31,1,0,0
315,315,"[3, 3]",2023-12-14,4,24,1,0,0
316,316,"[3, 3, 3, 3]",2023-12-07,3,49,0,0,0
317,317,"[3, 3]",2023-12-06,2,27,0,0,0
318,318,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 328, 328, 328]",2023-12-06,5,136,0,0,0
319,319,"[3, 3, 3, 3, 3]",2023-12-02,5,58,0,0,0
320,320,"[3, 3, 3, 3, 3, 3]",2023-11-29,3,65,0,0,0
321,321,"[3, 3]",2023-11-25,5,23,0,0,0
322,322,"[3, 3, 3]",2023-11-18,5,33,0,0,0
323,323,"[3, 3, 3, 3]",2023-10-30,2,43,0,0,0
324,324,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2023-10-26,5,119,0,0,0
325,325,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2023-10-22,5,109,0,0,0
326,326,"[3, 3, 3, 3, 3, 3, 3]",2023-10-18,5,74,0,0,0
