,Reviews,Summary
24,"['Рюкзак вместительный, но лямки жёсткие.', 'Много карманов, но молнии не самые надёжные.', 'Ткань плотная, но быстро пачкается.', 'Для города отлично, но для походов слабоват.', 'Замок на основном отделении неудобный, часто заедает.']","Рюкзак вместительный и удобный, но лямки жёсткие, молнии могут заедать, а ткань быстро пачкается."
25,"['Мышка удобная, но батарейка садится быстро.', 'Дизайн стильный, но колёсико скрипит.', 'Клик мягкий, но иногда срабатывает с задержкой.', 'Для работы подходит, но не для игр.', 'Провод коротковат, пришлось докупать удлинитель.']","Мышка удобная и стильная, но батарея быстро садится, колёсико может скрипеть, а провод коротковат."
26,"['Телевизор отличный, картинка чёткая, но звук слабый.', 'Легко настроить, но пульт не всегда реагирует.', 'Для своей цены - хороший выбор, но поддержка 4K не всегда стабильная.', 'Дизайн стильный, но нет Bluetooth для подключения колонок.', 'Очень нравится, но за такую цену мог бы быть и с лучшими углами обзора.']","Телевизор с хорошим качеством изображения и стильным дизайном, но слабый звук и проблемы с углами обзора."
27,"['Кофе варит отличный, но очень шумная.', 'Простая в использовании, но я заметил, что иногда прокачивает воду в два этапа.', 'Пластик корпуса дешёвый, но для дома сойдёт.', 'Капучино получается великолепное, но трудность в очистке.', 'За такие деньги - хороший выбор, но пришлось настроить несколько раз.']","Кофемашина варит хороший кофе, но шумная, пластик дешёвый, а очистка трудоёмкая."
28,"['Таблетка быстро тормозит, когда много приложений открыто.', 'Понравился экран, яркий, чёткий, но чехол не идёт в комплекте.', 'Заряжается быстро, но держит заряд 4-5 часов.', 'За свою цену хорошая, но камера оставляет желать лучшего.', 'Для чтения и серфинга сойдёт, но не для игр.']","Таблетка с хорошим экраном и быстрой зарядкой, но быстро тормозит, камера слабая, а зарядка держит недолго."
29,"['Рюкзак удобный, много карманов, но молнии с трудом застёгиваются.', 'Качество ткани отличное, но немного тяжёлый.', 'Размер подходящий для учебы, но лямки плохо регулируются.', 'Понравился дизайн, но у модели нет отдельного отделения для ноутбука.', 'Материалы хорошие, но запах пластика не пропадает.']","Рюкзак вместительный и удобный, но тяжёлый, молнии туговаты, и нет места для ноутбука."
30,"['Кофеварка хорошая, но слишком большая для моей кухни.', 'Готовит быстро, но трудно понять, как настроить крепость.', 'Шумит, когда работает, но эспрессо получается хорошим.', 'Для повседневного использования подойдёт, но для гостей маловато кофе в резервуаре.', 'Неудобная форма контейнера для отходов.']","Кофеварка хорошая для повседневного использования, но большая, шумная и неудобная для чистки."
31,"['Наушники хорошие, звук чистый, но слишком давят на уши.', 'Батарея держит долго, но зарядка через micro-USB.', 'Для занятий спортом отлично, но пульсометр не очень точный.', 'Дизайн красивый, но материал пластика может трескаться.', 'Сильно задевает за волосы, неудобно носить.']","Наушники с хорошим звуком и длительным временем работы, но неудобные из-за давления на уши и не очень прочного пластика."
32,"['Телефон работает быстро, но экран может царапаться.', 'Камера хорошая, но в темноте снимает плохо.', 'Батарея нормальная, но если часто пользоваться, хватает на день.', 'Неудобно, что нет разъема для наушников.', 'По цене отличный, но хотелось бы лучшее качество сборки.']","Телефон быстрый с хорошей камерой, но экран царапается, камера не лучшая при низком освещении, а качество сборки могло бы быть лучше."
33,"['Миксер мощный, но шумный.', 'Корпус пластик, но выглядит дорого.', 'Для теста подходит, но венчики могут застревать.', 'Немного тяжеловат, но держать удобно.', 'Немного брызгает во время работы, особенно на высокой скорости.']","Миксер мощный, но шумный, с пластиковым корпусом и возможными проблемами с венчиками."
34,"['Швейная машинка удобная, но сильно вибрирует.', 'Застряет нитка, нужно часто перезапускать.', 'Для начинающих идеально, но не для сложных проектов.', 'Прошивает толстые ткани, но громко работает.', 'Кнопки неудобные, сложно менять режим.']","Швейная машинка хороша для начинающих, но сильно вибрирует и имеет несколько неудобств с ниткой и кнопками."
35,"['Печка работает отлично, но внутри немного тусклая подсветка.', 'Нагревается быстро, но температура не всегда стабильна.', 'Дизайн стильный, но сильно пачкается от пыли.', 'Вместо привычной ручки — кнопка, привыкать трудно.', 'Хорошо справляется с выпечкой, но греется неравномерно.']","Печка с хорошей производительностью, но слабая подсветка и проблемы с равномерным прогревом."
36,"['Автомобильное зарядное устройство быстро заряжает, но плохо сидит в гнезде.', 'Провода коротковаты, приходится использовать удлинитель.', 'Светодиоды слишком яркие, мешают ночью.', 'Для своего размера — достаточно мощное.', 'Не хватает защиты от перегрева.']","Зарядное устройство мощное, но плохо сидит в гнезде, коротковатые провода и отсутствие защиты от перегрева."
37,"['Лампа яркая, но немного мерцает.', 'Пластик корпуса дешёвый, но работает долго.', 'Удобная регулировка яркости, но кнопка включения тугая.', 'Цветовая температура норм, но при длительном использовании руки устают.', 'Немного шумит, но не сильно.']","Лампа яркая и долговечная, но пластиковый корпус дешёвый и есть небольшие проблемы с регулировкой яркости."
38,"['Пробник парфюма понравился, запах стойкий, но слишком сладкий.', 'Держится долго, но после нескольких часов становится навязчивым.', 'Для вечерних выходов — идеально, но слишком сильный аромат для дня.', 'Красивый флакон, но запах слишком насыщенный.', 'На жаре запах быстро улетучивается.']","Парфюм стойкий и с насыщенным ароматом, но слишком сладкий и не подходит для дневного ношения."
39,"['Картриджи дешёвые, но печатает не очень качественно.', 'Простая в использовании, но часто заедает бумага.', 'Размер компактный, но занимает много места на рабочем столе.', 'Скорость печати устраивает, но качество фото на низком уровне.', 'Подключение по Wi-Fi не всегда стабильное.']","Принтер компактный и доступный, но качество печати низкое, и часто возникают проблемы с заеданием бумаги."
40,"['Утюг с хорошей подачей пара, но тяжёлый.', 'Гладит быстро, но пар не всегда выходит равномерно.', 'Цвет красивый, но запах пластика был при первом включении.', 'Ручка удобная, но корпус сильно нагревается.', 'Хорошая мощность, но вода быстро заканчивается.']","Утюг с хорошей подачей пара и мощностью, но тяжёлый, с запахом пластика и проблемами с равномерным паром."
41,"['Машинка для стрижки работает хорошо, но шумная.', 'Лезвия острые, но не хватает насадок.', 'Легко мыть, но не хватает длинного провода.', 'Для домашнего использования отлично, но для барбершопа — маловато мощности.', 'Режет аккуратно, но не всегда равномерно.']","Машинка для стрижки удобная и острая, но шумная, с коротким проводом и небольшой мощностью."
42,"['Смарт-часы удобные, но сложно настроить уведомления.', 'Аккумулятор держит 2 дня, но сенсорный экран иногда не реагирует.', 'Дизайн хороший, но ремешок жёсткий.', 'Проверка пульса точная, но трекер сна работает с ошибками.', 'Зарядка быстрая, но экран сильно царапается.']","Смарт-часы с хорошими функциями, но трудности с настройкой, царапающийся экран и жёсткий ремешок."
43,"['Ракетка лёгкая и удобная, но держать неудобно.', 'Для начинающих — идеально, но для профессионалов слабовата.', 'Хорошее сцепление с мячом, но пластик быстро трескается.', 'Яркая и стильная, но не для частых тренировок.', 'Ремешок удобный, но слишком короткий.']","Ракетка удобная и стильная, но не очень прочная и подходит только для начинающих."
44,"['Телефон с хорошей камерой, но корпус быстро царапается.', 'Процессор быстрый, но батарея садится быстро.', 'Экран яркий, но не всегда читаемый на солнце.', 'За свою цену — отличный выбор, но хотелось бы более устойчивого к царапинам покрытия.', 'Поддержка 5G есть, но ещё не используется везде.']","Телефон быстрый и с хорошей камерой, но имеет царапающийся корпус и проблемы с батареей."
45,"['Мультиварка работает отлично, но крышка не закрывается плотно.', 'Готовит быстро, но в процессе издает много шума.', 'Простая в использовании, но не хватает рецептов в комплекте.', 'Качество пластика корпуса оставляет желать лучшего.', 'Режимы варки работают как надо, но нет функции жарки.']","Мультиварка готовит быстро и удобно, но крышка плохо закрывается и пластик не самый качественный."
46,"['Наушники хорошего качества, звук чистый, но очень давят на уши.', 'Заряд держат долго, но неудобно управлять воспроизведением.', 'Беспроводные, но иногда теряется сигнал.', 'Не очень удобный размер, приходится часто поправлять.', 'Качество звука на высоте, но цена высокая.']","Наушники с хорошим звуком, но неудобные, с потерями сигнала и высокой ценой."
47,"['Фен работает хорошо, но сильно шумит.', 'Температурный режим удобный, но не хватает насадок.', 'Корпус удобный, но пластик кажется хрупким.', 'Долго сушит волосы, но без перегрева.', 'Не идеален для тонких волос, но для густых подходит.']","Фен с хорошей мощностью и температурой, но шумный, с недостатком насадок и не для тонких волос."
48,"['Качество печати хорошее, но часто застревает бумага.', 'Для офиса подходит, но скорость печати могла бы быть выше.', 'Компактный размер, но не хватает возможности двусторонней печати.', 'Заправка картриджа не самая удобная.', 'Доступная цена, но картриджи дорогие.']","Принтер хороший по качеству печати, но часто застревает, и картриджи дорогие."
49,"['Кофе варит замечательно, но трудно чистится.', 'Заварник металлический, но сильно нагревается.', 'Компактная модель, но довольно шумная.', 'Долгое время служит, но крышка туго открывается.', 'Подходит для небольших порций, но в больших семьях может быть неудобно.']","Кофеварка варит вкусный кофе, но трудна в уходе и немного шумная."
50,"['Телевизор с отличным изображением, но не хватает яркости.', 'Звук чистый, но довольно тихий.', 'Подключение по Wi-Fi работает стабильно, но иногда тормозит видео.', 'Дизайн стильный, но пульт неудобный.', 'Поддержка 4K, но качество изображения при слабом освещении оставляет желать лучшего.']","Телевизор с хорошим изображением и звуком, но со слабым пультом и проблемами с изображением в темноте."
51,"['Робот-пылесос хорош для уборки, но слишком громкий.', 'Пылесосит качественно, но нужно часто чистить фильтр.', 'Управление через приложение удобное, но периодически теряет связь.', 'Работает долго, но иногда запутывается в проводах.', 'Автономность хорошая, но на коврах не так эффективен.']","Робот-пылесос качественно убирает, но слишком громкий, часто теряет связь и не всегда справляется с коврами."
52,"['Джинсы с хорошим качеством ткани, но размер не совпадает с заявленным.', 'Ткань не тянется, сидят немного неудобно.', 'Цвет отличный, но после стирки немного выцвели.', 'Качество пошива хорошее, но запах химии не выветривается.', 'Идеальны на лето, но зимой могут быть холодными.']","Джинсы с хорошим качеством, но размер не совпадает, ткань не тянется и выцветает после стирки."
53,"['Часы стильные, но иногда заедает кнопка.', 'Подходит для повседневной носки, но ремешок быстро изнашивается.', 'Работают долго от одного заряда, но не хватает функций для спорта.', 'Водонепроницаемость нормальная, но корпус легко царапается.', 'Идеальны для офиса, но не подойдут для активных тренировок.']","Часы стильные и долговечные, но кнопка заедает, а ремешок быстро изнашивается."
54,"['Рюкзак удобный, но лямки быстро теряют форму.', 'Для учебы идеально, но нет кармана для ноутбука.', 'Ткань качественная, но немного тяжеловат.', 'Хороший объем, но неудобно носить в дождливую погоду.', 'Есть несколько карманов, но не хватает отделений для мелочей.']","Рюкзак удобный и вместительный, но лямки быстро теряются в форме и нет кармана для ноутбука."
55,"['Смартфон быстрый, но экран очень царапается.', 'Камера хорошая в дневное время, но ночью хуже.', 'Аккумулятор держит почти сутки, но зарядка долгая.', 'За свою цену — хороший выбор, но хотелось бы больше памяти.', 'Звук хороший, но греется в играх.']","Смартфон быстрый и с хорошей камерой, но экран царапается, аккумулятор заряжается долго."
56,"['Лампочка яркая, но сильно нагревается.', 'Хороший световой поток, но низкое качество пластика.', 'Долго служит, но не хватает разных температур свечения.', 'Пламя натуральное, но не хватает регулировки яркости.', 'Для офиса сойдёт, но не для дома.']","Лампочка яркая и долговечная, но нагревается, и не хватает регулировки яркости."
57,"['Печка очень мощная, но не подходит для маленькой кухни.', 'Греет быстро, но запах пластика чувствуется на первых включениях.', 'Температурный режим можно регулировать, но переключатели неудобные.', 'Корпус из нержавеющей стали, но сильно пачкается.', 'Подходит для больших семей, но для одного человека — слишком громоздкая.']","Печка мощная и удобная для больших семей, но неудобные переключатели и запах пластика."
58,"['Портативная колонка с хорошим звуком, но слишком громоздкая.', 'Батарея держит долго, но зарядка через micro-USB.', 'Пластик на ощупь качественный, но царапается.', 'Управление удобное, но кнопки маленькие.', 'Звук отличный, но не хватает баса.']","Колонка с хорошим звуком и долгим временем работы, но громоздкая, с маленькими кнопками и без глубоких басов."
59,"['Сковорода отлично жарит, но после нескольких использований покрытие начинает отходить.', 'Легко моется, но тяжёлая.', 'Ручка удобная, но пластиковая.', 'Тепло распределяется равномерно, но снаружи быстро пачкается.', 'Дорогая, но стоит своих денег.']","Сковорода с хорошим покрытием и удобной ручкой, но тяжёлая и пачкается."
60,"['Чайник быстро кипятит, но очень шумный.', 'Дизайн красивый, но крышка туго открывается.', 'Материал хороший, но не очень устойчив к царапинам.', 'Удобно держать, но неудобно заливать воду.', 'Нагревается быстро, но не хватает регулировки температуры.']","Чайник кипятит быстро, но шумный и неудобен в использовании."
61,"['Швейная машинка компактная, но немного шумит.', 'Шьёт хорошо, но нитки часто заедают.', 'Для новичков — идеальный вариант, но для профессионалов слабоват.', 'Удобный нож для обрезки, но коробка не закрывается.', 'Качество ткани под подставкой могло бы быть лучше.']","Швейная машинка хороша для новичков, но слабая для профессионалов и имеет несколько конструктивных недочетов."
62,"['Пельменница удобная, но слишком большая для небольшой кухни.', 'Материал качественный, но тяжёлая в использовании.', 'Ручки удобные, но не хватает дополнительных форм для пельменей.', 'Сделано хорошо, но требует много места для хранения.', 'Рекомендуется для больших семей, но для одной — неудобно.']","Пельменница удобная, но занимает много места и не подходит для небольших кухонь."
63,"['Маска для лица хорошая, но слишком сильно стягивает кожу.', 'Делает лицо более свежим, но вызывает лёгкое покраснение.', 'Очень экономичная, но запах не всем нравится.', 'Удобно наносится, но требует много времени для действия.', 'Кожа после неё мягкая, но в первое время появляется жирный блеск.']","Маска для лица делает кожу мягкой и свежей, но стягивает и вызывает покраснение."
64,"['Кофеварка хорошая, но часто заедает капсула.', 'Для своей цены неплохо, но не хватает функции нагрева молока.', 'Вкус кофе отличный, но необходимо тщательно чистить.', 'Очень удобная в использовании, но капсулы дорогие.', 'Дизайн красивый, но занимает много места.']","Кофеварка с отличным вкусом кофе, но капсулы дорогие и требуется частая чистка."
65,"['Шампунь придаёт волосам блеск, но сушит кожу головы.', 'Отлично пенится, но запах быстро выветривается.', 'Волосы становятся мягкими, но объём теряется через день.', 'Подходит для жирных волос, но не справляется с сухими кончиками.', 'Экономичный расход, но бутылка неудобная в использовании.']","Шампунь хорошо очищает и придаёт блеск, но сушит кожу головы и теряет эффект через день."
66,"['Фен быстро сушит волосы, но очень шумный.', 'Компактный и лёгкий, но недостаточно мощный для густых волос.', 'Имеет несколько режимов, но корпус нагревается при долгом использовании.', 'Хорошо фиксирует укладку, но насадки быстро изнашиваются.', 'Доступная цена, но не хватает функции холодного воздуха.']","Фен удобный и компактный, но шумный и недостаточно мощный для густых волос."
67,"['Чайник быстро кипятит воду, но шумит при работе.', 'Красивый дизайн, но поверхность легко царапается.', 'Хороший объём, но крышка иногда заедает.', 'Корпус не нагревается, но запах пластика в начале использования.', 'Удобный носик, но короткий шнур питания.']","Чайник быстро кипятит воду и имеет красивый дизайн, но шумит и легко царапается."
68,"['Микроволновка хорошо разогревает еду, но панель управления сложная.', 'Компактная, но внутреннее покрытие быстро изнашивается.', 'Много режимов, но кнопки со временем начинают залипать.', 'Тихая в работе, но требует регулярной очистки.', 'Цена соответствует качеству, но дверца закрывается с усилием.']","Микроволновка тихая и с множеством режимов, но управление сложное и кнопки могут залипать."
69,"['Пылесос хорошо всасывает пыль, но быстро забивается фильтр.', 'Лёгкий и манёвренный, но короткий шнур.', 'Работает тихо, но мешок для пыли маленький.', 'Подходит для небольших помещений, но плохо справляется с коврами.', 'Доступная цена, но фильтры приходится часто менять.']","Пылесос лёгкий и тихий, но с маленьким мешком и часто забивающимся фильтром."
